,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.1875,0
1,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,C#5,C#,C,1,5,73,1,0.1875,0
2,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,D5,D,D,0,5,74,2,0.0625,0.375
3,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.5
4,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.0625,0.625
5,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,D3,D,D,0,3,50,2,0.041666666666666664,0.0
6,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,B3,B,B,0,3,59,11,0.041666666666666664,0.08333333333333333
7,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,D4,D,D,0,4,62,2,0.041666666666666664,0.16666666666666666
8,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.25
9,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.0625,0.375
10,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.125,0.5
11,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,note,D3,D,D,0,3,50,2,0.125,0.0
12,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.25,0.25
13,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,2,,,,note,F#4,F#,F,1,4,66,6,0.1875,0.75
14,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,2,,,,note,C#5,C#,C,1,5,73,1,0.1875,0.75
15,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,2,,,,note,D5,D,D,0,5,74,2,0.0625,1.125
16,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,2,,,,note,B4,B,B,0,4,71,11,0.0625,1.25
17,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,2,,,,rest,,,,,,,,0.0625,1.375
18,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,2,,,,note,A2,A,A,0,2,45,9,0.375,0.75
19,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,C#5,C#,C,1,5,73,1,0.041666666666666664,1.5
20,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,D5,D,D,0,5,74,2,0.041666666666666664,1.5833333333333333
21,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,C#5,C#,C,1,5,73,1,0.041666666666666664,1.6666666666666665
22,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,B4,B,B,0,4,71,11,0.041666666666666664,1.7499999999999998
23,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,C#5,C#,C,1,5,73,1,0.041666666666666664,1.833333333333333
24,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,B4,B,B,0,4,71,11,0.041666666666666664,1.9166666666666663
25,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,A4,A,A,0,4,69,9,0.041666666666666664,1.9999999999999996
26,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,B4,B,B,0,4,71,11,0.041666666666666664,2.083333333333333
27,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,A4,A,A,0,4,69,9,0.041666666666666664,2.1666666666666665
28,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,D3,D,D,0,3,50,2,0.041666666666666664,1.5
29,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,B3,B,B,0,3,59,11,0.041666666666666664,1.5833333333333333
30,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,D4,D,D,0,4,62,2,0.041666666666666664,1.6666666666666665
31,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,F#4,F#,F,1,4,66,6,0.0625,1.7499999999999998
32,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,rest,,,,,,,,0.0625,1.8749999999999998
33,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,1.9999999999999998
34,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,note,D3,D,D,0,3,50,2,0.125,1.5
35,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,3,,,,rest,,,,,,,,0.25,1.75
36,data\scores\Chaminade\Divertissement_Op_105__Cecile_Chaminade.mxl,Chaminade,Divertissement_Op_105__Cecile_Chaminade,4,,,,note,F#4,F#,F,1,4,66,6,0.25,2.25
