,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,rest,,,,,,,,0.0625,0
1,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,0.125
2,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,A5,A,A,0.0,5,81.0,9.0,0.0625,0.25
3,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,G5,G,G,0.0,5,79.0,7.0,0.0625,0.375
4,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.0625,0.5
5,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.0625,0.625
6,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.25,0.0
7,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.25,0.0
8,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,0.5
9,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.125,0.5
10,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,1,-1,major,0,rest,,,,,,,,0.25,0.0
11,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,0.75
12,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,0.875
13,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,1.0
14,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,1.125
15,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,1.25
16,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,1.375
17,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,0.75
18,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,0.75
19,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,1.25
20,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.25
21,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,rest,,,,,,,,0.25,0.75
22,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.125,1.25
23,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,E5,E,E,0.0,5,76.0,4.0,0.0625,1.5
24,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0625,1.625
25,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,A5,A,A,0.0,5,81.0,9.0,0.0625,1.75
26,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,G5,G,G,0.0,5,79.0,7.0,0.0625,1.875
27,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,2.0
28,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,E5,E,E,0.0,5,76.0,4.0,0.0625,2.125
29,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,1.5
30,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,1.5
31,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,2.0
32,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,2.0
33,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,2.0
34,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,G3,G,G,0.0,3,55.0,7.0,0.25,1.5
35,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,2.0
36,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_K._138.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_K._138,4,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,2.25
