,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,1,-3,major,0,note,C5,C,C,0,5,72,0,0.125,0
1,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,1,-3,major,0,note,C5,C,C,0,5,72,0,0.125,0.3
2,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,1,-3,major,0,note,F5,F,F,0,5,77,5,0.0625,0.6
3,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,1,-3,major,0,note,F5,F,F,0,5,77,5,0.041666666666666664,0.75
4,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,1,-3,major,0,note,F5,F,F,0,5,77,5,0.020833333333333332,0.85
5,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,1,-3,major,0,rest,,,,,,,,0.25,1.1102230246251565e-16
6,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,2,,,,note,Eb5,Eb,E,-1,5,75,3,0.125,0.9
7,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,2,,,,note,D5,D,D,0,5,74,2,0.0625,1.2
8,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,2,,,,note,C5,C,C,0,5,72,0,0.0625,1.3499999999999999
9,..\data\scores\Scarlatti_Domenico\Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro.mxl,Scarlatti_Domenico,Domenico_Scarlatti_-_Sonata_L._452_K._116_P._111_C_minor_Allegro,2,,,,note,B4,B,B,0,4,71,11,0.0625,1.4999999999999998
