,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,F4,F,F,0,4,65,5,0.125,0
1,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Ab4,Ab,A,-1,4,68,8,0.125,0.25
2,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Db5,Db,D,-1,5,73,1,0.125,0.5
3,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,C5,C,C,0,5,72,0,0.125,0.75
4,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Bb4,Bb,B,-1,4,70,10,0.25,1.0
5,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Ab4,Ab,A,-1,4,68,8,0.125,1.5
6,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,rest,,,,,,,,0.125,1.75
7,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Ab4,Ab,A,-1,4,68,8,0.375,0.25
8,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Ab4,Ab,A,-1,4,68,8,0.125,1.0
9,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,Gb4,Gb,G,-1,4,66,6,0.125,1.25
10,data\scores\Dvorak\Dvorak_8_2.0_0.0.xml,Dvorak,Dvorak_8_2.0_0.0,1,-5,major,0,note,F4,F,F,0,4,65,5,0.125,1.5
