,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,1,-6,major,0,note,Bb3,Bb,B,-1,3,58,10,0.0625,0
1,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,1,-6,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0
2,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,1,-6,major,0,rest,,,,,,,,0.0625,0.0
3,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,0.0872093023255814
4,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,0.0872093023255814
5,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.125,0.436046511627907
6,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,rest,,,,,,,,0.0625,0.6104651162790697
7,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.0625,0.6976744186046512
8,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.6976744186046512
9,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Eb2,Eb,E,-1,2,39,3,0.08333333333333333,0.08720930232558144
10,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,0.20348837209302328
11,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Eb3,Eb,E,-1,3,51,3,0.08333333333333333,0.31976744186046513
12,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Eb2,Eb,E,-1,2,39,3,0.08333333333333333,0.436046511627907
13,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,0.5523255813953488
14,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,2,,,,note,Eb3,Eb,E,-1,3,51,3,0.08333333333333333,0.6686046511627907
15,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,0.7848837209302325
16,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,0.7848837209302325
17,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,F4,F,F,0,4,65,5,0.125,1.1337209302325582
18,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,rest,,,,,,,,0.0625,1.308139534883721
19,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.3953488372093024
20,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,D2,D,D,0,2,38,2,0.08333333333333333,0.7848837209302325
21,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,0.9011627906976744
22,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,D3,D,D,0,3,50,2,0.08333333333333333,1.0174418604651163
23,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,D2,D,D,0,2,38,2,0.08333333333333333,1.1337209302325582
24,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,1.25
25,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,3,,,,note,D3,D,D,0,3,50,2,0.08333333333333333,1.3662790697674418
26,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Bb3,Bb,B,-1,3,58,10,0.1875,1.4825581395348837
27,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Ab4,Ab,A,-1,4,68,8,0.1875,1.4825581395348837
28,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.744186046511628
29,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Bb3,Bb,B,-1,3,58,10,0.1875,1.8313953488372092
30,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Ab4,Ab,A,-1,4,68,8,0.1875,1.8313953488372092
31,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,2.0930232558139537
32,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,F2,F,F,0,2,41,5,0.08333333333333333,1.4825581395348841
33,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,1.598837209302326
34,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,F3,F,F,0,3,53,5,0.08333333333333333,1.7151162790697678
35,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,F2,F,F,0,2,41,5,0.08333333333333333,1.8313953488372097
36,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,1.9476744186046515
37,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,4,,,,note,F3,F,F,0,3,53,5,0.08333333333333333,2.0639534883720936
38,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,5,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,2.1802325581395356
39,data\scores\Schubert\Ein_Klavierstuck_D._946_No._1_in_E_Minor.mxl,Schubert,Ein_Klavierstuck_D._946_No._1_in_E_Minor,5,,,,note,Gb4,Gb,G,-1,4,66,6,0.25,2.1802325581395356
