,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Eb1,Eb,E,-1.0,1,27.0,3.0,0.125,0.0
2,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Eb2,Eb,E,-1.0,2,39.0,3.0,0.125,0.0
3,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,0.44117776816990645
4,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.125,0.8823555363398129
5,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,1.3235333045097193
6,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,1.7647110726796258
7,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,2.205888840849532
8,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.125,2.6470666090194386
9,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,1,-6,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,3.088244377189345
10,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,rest,,,,,,,,0.25,3.5294221453592516
11,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Eb1,Eb,E,-1.0,1,27.0,3.0,0.125,3.5294221453592516
12,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Eb2,Eb,E,-1.0,2,39.0,3.0,0.125,3.5294221453592516
13,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,3.970599913529158
14,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.125,4.411777681699064
15,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,4.85295544986897
16,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,5.294133218038876
17,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,5.735310986208782
18,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.125,6.176488754378688
19,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,6.617666522548594
20,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,rest,,,,,,,,0.5,7.0588442907185005
21,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Gb5,Gb,G,-1.0,5,78.0,6.0,0.5,8.823555363398127
22,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Eb1,Eb,E,-1.0,1,27.0,3.0,0.125,7.0588442907185005
23,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Eb2,Eb,E,-1.0,2,39.0,3.0,0.125,7.0588442907185005
24,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,7.500022058888407
25,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.125,7.941199827058313
26,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,8.382377595228219
27,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,8.823555363398125
28,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,9.26473313156803
29,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.125,9.705910899737937
30,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,3,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,10.147088667907843
31,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Gb5,Gb,G,-1.0,5,78.0,6.0,0.75,10.588266436077749
32,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,13.235333045097187
33,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Eb1,Eb,E,-1.0,1,27.0,3.0,0.125,10.588266436077747
34,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Eb2,Eb,E,-1.0,2,39.0,3.0,0.125,10.588266436077747
35,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Cb3,Cb,C,-1.0,3,59.0,11.0,0.125,11.029444204247653
36,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.125,11.47062197241756
37,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,11.911799740587465
38,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,12.352977508757371
39,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,12.794155276927277
40,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.125,13.235333045097184
41,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,4,,,,note,Cb3,Cb,C,-1.0,3,59.0,11.0,0.125,13.67651081326709
42,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,5,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,14.117688581436996
43,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,5,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,14.558866349606902
44,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,5,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,15.441221885946714
45,..\data\scores\Rachmaninoff_Sergei\Elegie_S.Rachmaninoff._Op.3.No.1.mxl,Rachmaninoff_Sergei,Elegie_S.Rachmaninoff._Op.3.No.1,5,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,15.661810770031668
