,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,0
1,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B5,B,B,0,5,83,11,0.0625,0
2,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.11904761904761904
3,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,0.23809523809523808
4,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B5,B,B,0,5,83,11,0.0625,0.23809523809523808
5,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.3571428571428571
6,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,0.47619047619047616
7,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B5,B,B,0,5,83,11,0.0625,0.47619047619047616
8,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.5952380952380952
9,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,0.7142857142857143
10,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B5,B,B,0,5,83,11,0.0625,0.7142857142857143
11,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.8333333333333334
12,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,0.9523809523809524
13,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B5,B,B,0,5,83,11,0.0625,0.9523809523809524
14,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,1.0714285714285714
15,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,1.1904761904761905
16,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,B5,B,B,0,5,83,11,0.0625,1.1904761904761905
17,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,1.3095238095238095
18,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,C5,C,C,0,5,72,0,0.0625,1.4285714285714286
19,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,C6,C,C,0,6,84,0,0.0625,1.4285714285714286
20,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,1.5476190476190477
21,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,1.6666666666666667
22,data\scores\Alkan\Etude_Opus_35_No._3_in_G_Major.mxl,Alkan,Etude_Opus_35_No._3_in_G_Major,1,1,major,0,note,D6,D,D,0,6,86,2,0.0625,1.6666666666666667
