,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,D3,D,D,0,3,50,2,0.125,0
1,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,D4,D,D,0,4,62,2,0.125,0
2,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,E3,E,E,0,3,52,4,0.125,0.1724137931034483
3,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,C#4,C#,C,1,4,61,1,0.125,0.1724137931034483
4,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,E4,E,E,0,4,64,4,0.125,0.1724137931034483
5,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,F3,F,F,0,3,53,5,0.125,0.3448275862068966
6,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,D4,D,D,0,4,62,2,0.125,0.3448275862068966
7,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,F4,F,F,0,4,65,5,0.125,0.3448275862068966
8,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,G3,G,G,0,3,55,7,0.125,0.5172413793103449
9,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,E4,E,E,0,4,64,4,0.125,0.5172413793103449
10,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,note,G4,G,G,0,4,67,7,0.125,0.5172413793103449
11,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,rest,,,,,,,,0.25,0.0
12,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,1,-1,major,0,rest,,,,,,,,0.25,0.3448275862068966
13,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A3,A,A,0,3,57,9,0.25,0.6896551724137931
14,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.25,0.6896551724137931
15,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.25,0.6896551724137931
16,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D4,D,D,0,4,62,2,0.125,1.0344827586206897
17,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.125,1.0344827586206897
18,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.125,1.0344827586206897
19,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D4,D,D,0,4,62,2,0.125,1.206896551724138
20,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.125,1.206896551724138
21,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.125,1.206896551724138
22,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D4,D,D,0,4,62,2,0.125,1.3793103448275863
23,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.125,1.3793103448275863
24,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.125,1.3793103448275863
25,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D4,D,D,0,4,62,2,0.125,1.5517241379310347
26,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.125,1.5517241379310347
27,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.125,1.5517241379310347
28,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D4,D,D,0,4,62,2,0.25,1.724137931034483
29,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.25,1.724137931034483
30,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.25,1.724137931034483
31,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,E4,E,E,0,4,64,4,0.125,2.06896551724138
32,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,G4,G,G,0,4,67,7,0.125,2.06896551724138
33,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F4,F,F,0,4,65,5,0.125,2.2413793103448283
34,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A4,A,A,0,4,69,9,0.125,2.2413793103448283
35,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,G4,G,G,0,4,67,7,0.125,2.4137931034482767
36,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,2.4137931034482767
37,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,E4,E,E,0,4,64,4,0.125,2.586206896551725
38,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,C5,C,C,0,5,72,0,0.125,2.586206896551725
39,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D1,D,D,0,1,26,2,0.25,0.689655172413794
40,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D2,D,D,0,2,38,2,0.25,0.689655172413794
41,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D3,D,D,0,3,50,2,0.125,1.0344827586206906
42,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F3,F,F,0,3,53,5,0.125,1.0344827586206906
43,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A3,A,A,0,3,57,9,0.125,1.0344827586206906
44,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D3,D,D,0,3,50,2,0.125,1.2068965517241388
45,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F3,F,F,0,3,53,5,0.125,1.2068965517241388
46,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A3,A,A,0,3,57,9,0.125,1.2068965517241388
47,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D3,D,D,0,3,50,2,0.125,1.3793103448275872
48,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F3,F,F,0,3,53,5,0.125,1.3793103448275872
49,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A3,A,A,0,3,57,9,0.125,1.3793103448275872
50,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D3,D,D,0,3,50,2,0.125,1.5517241379310356
51,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F3,F,F,0,3,53,5,0.125,1.5517241379310356
52,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A3,A,A,0,3,57,9,0.125,1.5517241379310356
53,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,D3,D,D,0,3,50,2,0.25,1.724137931034484
54,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,F3,F,F,0,3,53,5,0.25,1.724137931034484
55,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,A3,A,A,0,3,57,9,0.25,1.724137931034484
56,data\scores\Alkan\Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl,Alkan,Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique,2,,,,note,E3,E,E,0,3,52,4,0.125,2.068965517241381
