,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,1,-2,major,0,rest,,,,,,,,0.125,0
1,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,1,-2,major,0,rest,,,,,,,,0.25,0.08426966292134831
2,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,1,-2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.125,0.0
3,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,1,-2,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.125,0.08426966292134831
4,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,1,-2,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.125,0.16853932584269662
5,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,2,,,,rest,,,,,,,,0.25,0.25280898876404495
6,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,0.2528089887640449
7,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,2,,,,rest,,,,,,,,0.25,0.4213483146067415
8,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,2,,,,rest,,,,,,,,0.25,0.5898876404494381
9,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,3,,,,rest,,,,,,,,0.25,0.7584269662921347
10,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,3,,,,rest,,,,,,,,0.25,0.7584269662921347
11,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,3,,,,rest,,,,,,,,0.125,0.9269662921348313
12,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,3,,,,note,D2,D,D,0.0,2,38.0,2.0,0.125,1.0112359550561796
13,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,3,,,,note,D3,D,D,0.0,3,50.0,2.0,0.125,1.095505617977528
14,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,3,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.125,1.1797752808988764
15,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,4,,,,rest,,,,,,,,0.25,1.2640449438202248
16,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,4,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,1.2640449438202248
17,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,4,,,,rest,,,,,,,,0.25,1.4325842696629214
18,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,4,,,,rest,,,,,,,,0.25,1.601123595505618
19,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,5,,,,rest,,,,,,,,0.25,1.7696629213483146
20,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,5,,,,rest,,,,,,,,0.25,1.7696629213483144
21,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,5,,,,rest,,,,,,,,0.25,1.938202247191011
22,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,5,,,,note,D2,D,D,0.0,2,38.0,2.0,0.125,2.1067415730337076
23,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,5,,,,note,D3,D,D,0.0,3,50.0,2.0,0.125,2.191011235955056
24,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,rest,,,,,,,,0.25,2.2752808988764044
25,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,note,C#2,C#,C,1.0,2,37.0,1.0,0.125,2.2752808988764044
26,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.125,2.359550561797753
27,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,note,C2,C,C,0.0,2,36.0,0.0,0.125,2.443820224719101
28,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,note,C3,C,C,0.0,3,48.0,0.0,0.125,2.5280898876404496
29,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,note,B1,B,B,0.0,1,35.0,11.0,0.125,2.612359550561798
30,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,6,,,,note,B2,B,B,0.0,2,47.0,11.0,0.125,2.6966292134831464
31,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,rest,,,,,,,,0.25,2.780898876404495
32,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,note,Bb1,Bb,B,-1.0,1,34.0,10.0,0.125,2.780898876404495
33,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,2.8651685393258433
34,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,note,A1,A,A,0.0,1,33.0,9.0,0.125,2.9494382022471917
35,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,note,A2,A,A,0.0,2,45.0,9.0,0.125,3.03370786516854
36,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,note,Ab1,Ab,A,-1.0,1,32.0,8.0,0.125,3.1179775280898885
37,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,7,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,3.202247191011237
38,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,8,,,,rest,,,,,,,,0.25,3.2865168539325853
39,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,8,,,,note,G1,G,G,0.0,1,31.0,7.0,0.125,3.2865168539325853
40,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,8,,,,note,G2,G,G,0.0,2,43.0,7.0,0.125,3.3707865168539337
41,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,8,,,,rest,,,,,,,,0.25,3.455056179775282
42,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,8,,,,rest,,,,,,,,0.25,3.623595505617979
43,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,9,,,,rest,,,,,,,,0.25,3.7921348314606758
44,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,9,,,,rest,,,,,,,,0.25,3.7921348314606758
45,data\scores\Alkan\Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl,Alkan,Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico,9,,,,rest,,,,,,,,0.125,3.9606741573033726
