,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.375,0
1,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,D5,D,D,0,5,74,2,0.375,0
2,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,F#5,F#,F,1,5,78,6,0.375,0
3,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.125,0.2571428571428571
4,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,D5,D,D,0,5,74,2,0.125,0.2571428571428571
5,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,F#5,F#,F,1,5,78,6,0.125,0.2571428571428571
6,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.25,0.34285714285714286
7,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,D5,D,D,0,5,74,2,0.25,0.34285714285714286
8,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,F#5,F#,F,1,5,78,6,0.25,0.34285714285714286
9,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B2,B,B,0,2,47,11,0.375,0.0
10,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,D3,D,D,0,3,50,2,0.375,0.0
11,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,F#3,F#,F,1,3,54,6,0.375,0.0
12,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B3,B,B,0,3,59,11,0.375,0.0
13,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B2,B,B,0,2,47,11,0.125,0.2571428571428571
14,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,D3,D,D,0,3,50,2,0.125,0.2571428571428571
15,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,F#3,F#,F,1,3,54,6,0.125,0.2571428571428571
16,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B3,B,B,0,3,59,11,0.125,0.2571428571428571
17,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B2,B,B,0,2,47,11,0.25,0.34285714285714286
18,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,D3,D,D,0,3,50,2,0.25,0.34285714285714286
19,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,F#3,F#,F,1,3,54,6,0.25,0.34285714285714286
20,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,1,2,major,0,note,B3,B,B,0,3,59,11,0.25,0.34285714285714286
21,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,2,,,,note,B4,B,B,0,4,71,11,0.25,0.5142857142857142
22,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,2,,,,note,D5,D,D,0,5,74,2,0.25,0.5142857142857142
23,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,2,,,,note,F#5,F#,F,1,5,78,6,0.25,0.5142857142857142
24,data\scores\Alkan\Etude_de_Bravoure_Opus_16_No._3_in_B_Minor.mxl,Alkan,Etude_de_Bravoure_Opus_16_No._3_in_B_Minor,2,,,,note,A5,A,A,0,5,81,9,0.0,0
