,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.08333333333333333,0
1,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,C4,C,C,0,4,60,0,0.08333333333333333,0.1388888888888889
2,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,D4,D,D,0,4,62,2,0.08333333333333333,0.2777777777777778
3,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,Eb4,Eb,E,-1,4,63,3,0.08333333333333333,0.4166666666666667
4,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,D4,D,D,0,4,62,2,0.08333333333333333,0.5555555555555556
5,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,C4,C,C,0,4,60,0,0.08333333333333333,0.6944444444444444
6,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,D4,D,D,0,4,62,2,0.08333333333333333,0.8333333333333333
7,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,C4,C,C,0,4,60,0,0.08333333333333333,0.9722222222222221
8,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.08333333333333333,1.111111111111111
9,data\scores\Alkan\Etude_de_Concert_pour_Piano_Le_Preux_Opus_17.mxl,Alkan,Etude_de_Concert_pour_Piano_Le_Preux_Opus_17,1,-2,major,0,note,F5,F,F,0,5,77,5,0.125,1.2499999999999998
