,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#3,C#,C,1,3,49,1,1.0,0
1,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,F#3,F#,F,1,3,54,6,1.0,0
2,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,A3,A,A,0,3,57,9,1.0,0
3,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#4,C#,C,1,4,61,1,1.0,0
4,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.25,0.0
5,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.25,0.0
6,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.0625,0.5454545454545454
7,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.0625,0.6818181818181818
8,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.0625,0.8181818181818181
9,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.0625,0.9545454545454545
10,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.0625,1.0909090909090908
11,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.0625,1.227272727272727
12,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.0625,1.3636363636363633
13,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.0625,1.4999999999999996
14,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.0625,1.6363636363636358
15,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.0625,1.772727272727272
16,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.0625,1.9090909090909083
17,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,1,3,major,0,note,C#1,C#,C,1,1,25,1,0.0625,2.0454545454545445
18,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,note,C3,C,C,0,3,48,0,0.25,2.1818181818181808
19,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,note,F#3,F#,F,1,3,54,6,0.25,2.1818181818181808
20,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,note,A3,A,A,0,3,57,9,0.25,2.1818181818181808
21,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,note,C4,C,C,0,4,60,0,0.25,2.1818181818181808
22,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,rest,,,,,,,,0.25,2.727272727272726
23,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,rest,,,,,,,,0.5,3.2727272727272716
24,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,note,D1,D,D,0,1,26,2,0.25,2.1818181818181808
25,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,note,D2,D,D,0,2,38,2,0.25,2.1818181818181808
26,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,rest,,,,,,,,0.25,2.727272727272726
27,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,2,,,,rest,,,,,,,,0.5,3.2727272727272716
28,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#3,C#,C,1,3,49,1,1.0,4.363636363636362
29,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,F#3,F#,F,1,3,54,6,1.0,4.363636363636362
30,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,A3,A,A,0,3,57,9,1.0,4.363636363636362
31,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#4,C#,C,1,4,61,1,1.0,4.363636363636362
32,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.25,4.363636363636362
33,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.25,4.363636363636362
34,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.0625,4.909090909090908
35,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.0625,5.045454545454545
36,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.0625,5.181818181818182
37,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.0625,5.318181818181818
38,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.0625,5.454545454545455
39,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.0625,5.590909090909092
40,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.0625,5.727272727272728
41,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.0625,5.863636363636365
42,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.0625,6.000000000000002
43,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.0625,6.1363636363636385
44,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#2,C#,C,1,2,37,1,0.0625,6.272727272727275
45,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,3,,,,note,C#1,C#,C,1,1,25,1,0.0625,6.409090909090912
46,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,note,C3,C,C,0,3,48,0,0.25,6.5454545454545485
47,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,note,F#3,F#,F,1,3,54,6,0.25,6.5454545454545485
48,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,note,A3,A,A,0,3,57,9,0.25,6.5454545454545485
49,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,note,C4,C,C,0,4,60,0,0.25,6.5454545454545485
50,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,rest,,,,,,,,0.25,7.0909090909090935
51,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,rest,,,,,,,,0.5,7.6363636363636385
52,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,note,D1,D,D,0,1,26,2,0.25,6.5454545454545485
53,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,note,D2,D,D,0,2,38,2,0.25,6.5454545454545485
54,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,rest,,,,,,,,0.25,7.0909090909090935
55,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,4,,,,rest,,,,,,,,0.5,7.6363636363636385
56,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,5,,,,note,C#3,C#,C,1,3,49,1,1.0,8.72727272727273
57,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,5,,,,note,F#3,F#,F,1,3,54,6,1.0,8.72727272727273
58,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,5,,,,note,A3,A,A,0,3,57,9,1.0,8.72727272727273
59,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,5,,,,note,C#4,C#,C,1,4,61,1,1.0,8.72727272727273
60,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,5,,,,note,C#1,C#,C,1,1,25,1,1.0,8.72727272727273
61,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,5,,,,note,C#2,C#,C,1,2,37,1,1.0,8.72727272727273
62,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,C3,C,C,0,3,48,0,0.5,10.909090909090912
63,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,F#3,F#,F,1,3,54,6,0.5,10.909090909090912
64,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,A3,A,A,0,3,57,9,0.5,10.909090909090912
65,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,C4,C,C,0,4,60,0,0.5,10.909090909090912
66,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,C#3,C#,C,1,3,49,1,0.5,12.000000000000004
67,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,F#3,F#,F,1,3,54,6,0.5,12.000000000000004
68,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,A3,A,A,0,3,57,9,0.5,12.000000000000004
69,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,C#4,C#,C,1,4,61,1,0.5,12.000000000000004
70,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,D1,D,D,0,1,26,2,0.5,10.909090909090912
71,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,D2,D,D,0,2,38,2,0.5,10.909090909090912
72,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,C#1,C#,C,1,1,25,1,0.5,12.000000000000004
73,..\data\scores\Sibelius_Jean\Finlandia.mxl,Sibelius_Jean,Finlandia,6,,,,note,C#2,C#,C,1,2,37,1,0.5,12.000000000000004
