,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,1,0,major,0,rest,,,,,,,,0.25,0
1,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,1,0,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.0,0
2,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,1,0,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.25,0.375
3,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,1,0,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.25,0.75
4,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,1,0,major,0,rest,,,,,,,,0.25,0.0
5,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,1,0,major,0,note,F2,F,F,0.0,2,41.0,5.0,0.25,0.0
6,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,1.125
7,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,2,,,,rest,,,,,,,,0.25,1.875
8,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,2,,,,rest,,,,,,,,0.25,1.125
9,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.25,1.125
10,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,3,,,,rest,,,,,,,,0.25,2.25
11,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.0,0
12,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,2.625
13,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,3.0
14,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,3,,,,rest,,,,,,,,0.25,2.25
15,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,3,,,,note,F2,F,F,0.0,2,41.0,5.0,0.25,2.25
16,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,4,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,3.375
17,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,4,,,,rest,,,,,,,,0.25,4.125
18,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,4,,,,rest,,,,,,,,0.25,3.375
19,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,4,,,,note,F2,F,F,0.0,2,41.0,5.0,0.25,3.375
20,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,5,,,,rest,,,,,,,,0.25,4.5
21,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,5,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0,0
22,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,4.875
23,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,5,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,5.25
24,data\scores\Liszt\Franz_Liszt-_Bagatelle_sans_Tonalite.mxl,Liszt,Franz_Liszt-_Bagatelle_sans_Tonalite,5,,,,rest,,,,,,,,0.25,4.5
