,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,A4,A,A,0,4,69,9,0.375,0
1,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,G4,G,G,0,4,67,7,0.0625,0.7826086956521738
2,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,A4,A,A,0,4,69,9,0.0625,0.9130434782608695
3,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,B4,B,B,0,4,71,11,0.125,1.0434782608695652
4,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,E4,E,E,0,4,64,4,0.125,1.3043478260869565
5,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,C5,C,C,0,5,72,0,0.125,1.565217391304348
6,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,note,C5,C,C,0,5,72,0,0.125,1.8260869565217392
7,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,rest,,,,,,,,0.25,0.0
8,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,1,0,major,0,rest,,,,,,,,0.25,0.0
9,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,2,,,,note,B4,B,B,0,4,71,11,0.0625,2.0869565217391304
10,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,2,,,,note,E5,E,E,0,5,76,4,0.0625,2.217391304347826
11,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,2,,,,note,D5,D,D,0,5,74,2,0.0625,2.347826086956522
12,..\data\scores\Frescobaldi_Girolamo\Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635.mxl,Frescobaldi_Girolamo,Frescobaldi_Canzon_quarti_toni_dopo_il_post_Comune_1635,2,,,,note,C5,C,C,0,5,72,0,0.0625,2.4782608695652177
