,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,rest,,,,,,,,0.25,0
1,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,rest,,,,,,,,0.125,0.0
2,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.125,0.7142857142857143
3,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.4285714285714286
4,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,2.142857142857143
5,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,2.857142857142857
6,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,1,1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.125,3.5714285714285716
7,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,rest,,,,,,,,0.25,4.285714285714286
8,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,D#3,D#,D,1.0,3,51.0,3.0,0.0625,4.285714285714286
9,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.0625,4.642857142857142
10,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.0625,4.999999999999999
11,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.0625,5.357142857142856
12,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.0625,5.714285714285713
13,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,A3,A,A,0.0,3,57.0,9.0,0.0625,6.071428571428569
14,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.0625,6.428571428571426
15,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.0625,6.785714285714283
16,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.0625,7.14285714285714
17,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,7.4999999999999964
18,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,G#3,G#,G,1.0,3,56.0,8.0,0.0625,7.857142857142853
19,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,2,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.0625,8.21428571428571
20,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,rest,,,,,,,,0.125,8.571428571428568
21,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,9.285714285714281
22,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,9.999999999999995
23,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,10.714285714285708
24,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,11.428571428571422
25,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.125,12.142857142857135
26,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.125,8.571428571428562
27,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,rest,,,,,,,,0.0625,9.285714285714276
28,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,9.642857142857133
29,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.125,9.999999999999991
30,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,10.714285714285705
31,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.0625,11.071428571428562
32,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,G3,G,G,0.0,3,55.0,7.0,0.125,11.42857142857142
33,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,rest,,,,,,,,0.0625,12.142857142857133
34,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,3,,,,note,E3,E,E,0.0,3,52.0,4.0,0.0625,12.499999999999991
35,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,4,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.0625,12.857142857142849
36,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,13.214285714285706
37,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,4,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,13.571428571428564
38,data\scores\Alkan\Fugue_in_E_Minor_Jean_qui_Pleure.mxl,Alkan,Fugue_in_E_Minor_Jean_qui_Pleure,4,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.0625,13.928571428571422
