,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,1,-5,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,2,,,,rest,,,,,,,,0.25,2.571428571428571
2,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,2,,,,rest,,,,,,,,0.125,3.1428571428571423
3,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,2,,,,rest,,,,,,,,0.25,3.428571428571428
4,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,2,,,,rest,,,,,,,,0.125,3.999999999999999
5,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,2,,,,rest,,,,,,,,0.25,4.285714285714285
6,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,4.857142857142856
7,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,3,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,5.1428571428571415
8,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,3,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,5.714285714285713
9,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,3,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,5.999999999999998
10,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,3,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,6.285714285714284
11,..\data\scores\Faure_Gabriel\G._Faure_Serenade_Toscane.mxl,Faure_Gabriel,G._Faure_Serenade_Toscane,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,6.571428571428569
