,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,1,-1,major,0,note,C5,C,C,0,5,72,0,0.5,0
1,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,1,-1,major,0,note,E4,E,E,0,4,64,4,0.5,1.0
2,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,2,,,,note,E4,E,E,0,4,64,4,0.25,2.0
3,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,2,,,,note,D4,D,D,0,4,62,2,0.25,2.5
4,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,2,,,,note,E4,E,E,0,4,64,4,0.5,3.0
5,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,3,,,,rest,,,,,,,,0.25,4.0
6,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,4,,,,note,E4,E,E,0,4,64,4,0.75,6.0
7,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,4,,,,note,G4,G,G,0,4,67,7,0.25,7.5
8,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,5,,,,note,G4,G,G,0,4,67,7,0.25,8.0
9,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,5,,,,note,F4,F,F,0,4,65,5,0.25,8.5
10,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,5,,,,note,E4,E,E,0,4,64,4,0.5,9.0
11,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,6,,,,note,D4,D,D,0,4,62,2,0.75,10.0
12,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,11.5
13,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,7,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,12.0
14,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,7,,,,note,C5,C,C,0,5,72,0,0.25,12.5
15,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,7,,,,note,A4,A,A,0,4,69,9,0.25,13.0
16,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,7,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,13.5
17,..\data\scores\Gesualdo_Carlo\Gesualdo-Peccantum_me.mxl,Gesualdo_Carlo,Gesualdo-Peccantum_me,8,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,14.0
