,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,1,0,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,1,0,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.5,1.0
2,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.75,2.0
3,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,3.5
4,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,3.75
5,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,3,,,,note,E4,E,E,0.0,4,64.0,4.0,1.0,4.0
6,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,4,,,,note,D4,D,D,0.0,4,62.0,2.0,1.0,6.0
7,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,5,,,,rest,,,,,,,,1.0,8.0
8,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,6,,,,rest,,,,,,,,1.0,10.0
9,..\data\scores\Monteverdi_Claudio\Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1.xml,Monteverdi_Claudio,Gloria-tua-T-amo-mia-vita_Monteverdi-Claudio_file1,7,,,,rest,,,,,,,,1.0,12.0
