,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Bb2,Bb,B,-1,2,46,10,0.125,0
1,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,C3,C,C,0,3,48,0,0.125,0.4166666666666667
2,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Db3,Db,D,-1,3,49,1,0.125,0.8333333333333334
3,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Eb3,Eb,E,-1,3,51,3,0.025,1.25
4,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,F3,F,F,0,3,53,5,0.025,1.3333333333333333
5,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Eb3,Eb,E,-1,3,51,3,0.025,1.4166666666666665
6,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Db3,Db,D,-1,3,49,1,0.025,1.4999999999999998
7,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Eb3,Eb,E,-1,3,51,3,0.025,1.583333333333333
8,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Ab3,Ab,A,-1,3,56,8,0.125,1.6666666666666663
9,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,G3,G,G,0,3,55,7,0.125,2.083333333333333
10,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Bb1,Bb,B,-1,1,34,10,0.125,-4.440892098500626e-16
11,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,C2,C,C,0,2,36,0,0.125,0.41666666666666624
12,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Db2,Db,D,-1,2,37,1,0.125,0.8333333333333329
13,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Eb2,Eb,E,-1,2,39,3,0.025,1.2499999999999996
14,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,F2,F,F,0,2,41,5,0.025,1.3333333333333328
15,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Eb2,Eb,E,-1,2,39,3,0.025,1.416666666666666
16,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Db2,Db,D,-1,2,37,1,0.025,1.4999999999999993
17,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Eb2,Eb,E,-1,2,39,3,0.025,1.5833333333333326
18,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,Ab2,Ab,A,-1,2,44,8,0.125,1.6666666666666659
19,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,note,G2,G,G,0,2,43,7,0.125,2.0833333333333326
20,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,1,0,major,0,rest,,,,,,,,0.25,-8.881784197001252e-16
21,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,2,,,,rest,,,,,,,,0.25,2.499999999999999
22,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,2,,,,rest,,,,,,,,0.125,3.3333333333333326
23,..\data\scores\Granados_Enrique\Goyescas_5_El_Amor_y_la_Muerte.mxl,Granados_Enrique,Goyescas_5_El_Amor_y_la_Muerte,2,,,,note,B3,B,B,0,3,59,11,0.125,3.749999999999999
