,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,F4,F,F,0,4,65,5,0.125,0
1,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,D5,D,D,0,5,74,2,0.125,0
2,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,F5,F,F,0,5,77,5,0.125,0.15
3,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,F5,F,F,0,5,77,5,0.25,0.3
4,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,F4,F,F,0,4,65,5,0.25,0.6
5,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,D5,D,D,0,5,74,2,0.25,0.6
6,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,Bb1,Bb,B,-1,1,34,10,0.25,0.0
7,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,Bb2,Bb,B,-1,2,46,10,0.25,0.0
8,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,rest,,,,,,,,0.25,0.3
9,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,Bb1,Bb,B,-1,1,34,10,0.25,0.6
10,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,1,-2,major,0,note,Bb2,Bb,B,-1,2,46,10,0.25,0.6
11,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,F4,F,F,0,4,65,5,0.125,0.8999999999999999
12,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,C5,C,C,0,5,72,0,0.125,0.8999999999999999
13,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,F5,F,F,0,5,77,5,0.125,1.0499999999999998
14,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,F5,F,F,0,5,77,5,0.25,1.1999999999999997
15,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,F4,F,F,0,4,65,5,0.25,1.4999999999999998
16,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,C5,C,C,0,5,72,0,0.25,1.4999999999999998
17,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,A1,A,A,0,1,33,9,0.25,0.8999999999999999
18,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,A2,A,A,0,2,45,9,0.25,0.8999999999999999
19,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,rest,,,,,,,,0.25,1.2
20,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,A1,A,A,0,1,33,9,0.25,1.5
21,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,2,,,,note,A2,A,A,0,2,45,9,0.25,1.5
22,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,3,,,,note,C5,C,C,0,5,72,0,0.0,0
23,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,1.8
24,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,3,,,,note,A4,A,A,0,4,69,9,0.125,1.95
25,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,2.1
26,..\data\scores\Granados_Enrique\Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico.xml,Granados_Enrique,Granados_Enrique_-_Valses_poticos_-_No.4_Allegro_humoristico,3,,,,note,D5,D,D,0,5,74,2,0.125,2.25
