,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,1,0,major,0,note,F4,F,F,0,4,65,5,0.375,0
1,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,1,0,major,0,note,F4,F,F,0,4,65,5,0.375,0.75
2,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,2,,,,note,C4,C,C,0,4,60,0,0.75,1.5
3,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,3,,,,note,F4,F,F,0,4,65,5,0.25,3.0
4,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,3,,,,note,E4,E,E,0,4,64,4,0.125,3.5
5,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,3,,,,note,F4,F,F,0,4,65,5,0.25,3.75
6,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,3,,,,note,G4,G,G,0,4,67,7,0.125,4.25
7,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,4,,,,note,A4,A,A,0,4,69,9,0.375,4.5
8,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.375,5.25
9,..\data\scores\Vitry_Philippede\Gratissima-virginis-species_Vitry-Philippe-de_file1.xml,Vitry_Philippede,Gratissima-virginis-species_Vitry-Philippe-de_file1,5,,,,note,A4,A,A,0,4,69,9,0.75,6.0
