,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,1,0,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,1,0,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.25,0.0
2,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,1,0,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.25,0.46153846153846156
3,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,1,0,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.25,0.46153846153846156
4,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,1,0,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.25,0.9230769230769231
5,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,1,0,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.25,0.9230769230769231
6,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,2,,,,rest,,,,,,,,0.25,1.3846153846153846
7,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,1.3846153846153846
8,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,1.8461538461538463
9,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,1.8461538461538463
10,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,2.307692307692308
11,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,2.307692307692308
12,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,2.7692307692307696
13,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,3.2307692307692313
14,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,3.461538461538462
15,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,3.692307692307693
16,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,2.7692307692307696
17,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,3.2307692307692313
18,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,3.2307692307692313
19,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,3.692307692307693
20,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,3.692307692307693
21,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,4.153846153846154
22,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,4.615384615384616
23,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,4.846153846153847
24,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,5.0769230769230775
25,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,4.153846153846155
26,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,4.615384615384617
27,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,4.615384615384617
28,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,5.076923076923078
29,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,5.076923076923078
30,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0,0
31,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,5.53846153846154
32,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,5,,,,note,E4,E,E,0.0,4,64.0,4.0,0.5,6.000000000000002
33,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,5,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,5.53846153846154
34,..\data\scores\Grieg_Edvard\Grieg_Waltz_Op._12_No._2.mxl,Grieg_Edvard,Grieg_Waltz_Op._12_No._2,5,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,6.000000000000002
