,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.1875,0.6
2,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,1.0499999999999998
3,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.125,1.1999999999999997
4,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,1.4999999999999998
5,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,1.7999999999999998
6,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,1,4,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.125,2.0999999999999996
7,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,2,,,,note,G#5,G#,G,1.0,5,80.0,8.0,0.125,2.3999999999999995
8,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,2,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.125,2.6999999999999993
9,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,2.999999999999999
10,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.1_No.5_-_Morgenstandchen,2,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,3.299999999999999
