,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,1,-4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,2,,,,rest,,,,,,,,0.25,4.8
2,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,3,,,,rest,,,,,,,,0.25,9.6
3,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,4,,,,rest,,,,,,,,0.5,14.399999999999999
4,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,4,,,,rest,,,,,,,,0.25,16.799999999999997
5,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,4,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.25,17.999999999999996
6,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,5,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.25,19.199999999999996
7,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,5,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,20.399999999999995
8,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,20.999999999999996
9,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,21.599999999999998
10,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,5,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,22.799999999999997
11,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,5,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.125,23.4
12,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,6,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,24.0
13,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,6,,,,rest,,,,,,,,0.25,25.2
14,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,6,,,,rest,,,,,,,,0.5,26.4
15,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,7,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.75,28.799999999999997
16,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,7,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,32.4
17,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,8,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,33.6
18,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,8,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,34.800000000000004
19,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,8,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,35.400000000000006
20,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,8,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.375,36.00000000000001
21,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,8,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,37.800000000000004
22,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,9,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,1.0,38.400000000000006
23,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,10,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,43.2
24,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,10,,,,rest,,,,,,,,0.25,45.6
25,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.4_-_Die_fruhen_Graber,10,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,46.800000000000004
