,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,1,-3,major,0,rest,,,,,,,,0.25,0
1,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,2,,,,rest,,,,,,,,0.25,4.235284152272583
2,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,3,,,,rest,,,,,,,,0.25,8.470568304545166
3,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,4,,,,rest,,,,,,,,0.25,12.705852456817748
4,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,13.41173314886318
5,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,4,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,14.11761384090861
6,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,4,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,14.823494532954042
7,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,15.882315571022188
8,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,4,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,16.235255917044903
9,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,5,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.5,16.941136609090332
10,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,5,,,,rest,,,,,,,,0.25,18.352897993181195
11,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,5,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.375,19.058778685226624
12,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,20.11759972329477
13,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,20.470540069317487
14,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.5,21.176420761362916
15,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,6,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,22.58818214545378
16,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,6,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,23.294062837499208
17,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,6,,,,rest,,,,,,,,0.25,24.70582422159007
18,data\scores\Hensel\Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht.mxl,Hensel,Hensel_Fanny_Mendelssohn_-_6_Lieder_Op.9_No.6_-_Die_Mainacht,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,25.4117049136355
