,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,1,0,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,2,,,,rest,,,,,,,,0.25,2.0
2,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,3,,,,rest,,,,,,,,0.25,4.0
3,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,4,,,,note,G4,G,G,0.0,4,67.0,7.0,1.0,6.0
4,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,5,,,,note,A4,A,A,0.0,4,69.0,9.0,1.0,8.0
5,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,6,,,,note,B4,B,B,0.0,4,71.0,11.0,1.0,10.0
6,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,7,,,,note,C5,C,C,0.0,5,72.0,0.0,1.0,12.0
7,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,8,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,14.0
8,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,8,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,15.0
9,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,9,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,16.0
10,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,9,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,17.0
11,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,10,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,18.0
12,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,18.5
13,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,19.0
14,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,11,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,20.0
15,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,11,,,,rest,,,,,,,,0.5,21.0
16,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,12,,,,rest,,,,,,,,0.5,22.0
17,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,12,,,,rest,,,,,,,,0.25,23.0
18,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,12,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,23.5
19,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,13,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,24.0
20,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,13,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,24.5
21,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,13,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,25.0
22,..\data\scores\Victoria_TomasLuisde\Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3.xml,Victoria_TomasLuisde,Heth.-Cogitavit-Dominus_Victoria-Tomas-Luis-de_file3,13,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,25.5
