,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,1,-3,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,2,,,,rest,,,,,,,,0.25,1.25
2,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,3,,,,rest,,,,,,,,0.25,2.5
3,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,4,,,,rest,,,,,,,,0.25,3.75
4,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,5,,,,rest,,,,,,,,0.25,5.0
5,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,6,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,6.25
6,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,6,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,6.5625
7,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,6,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,6.71875
8,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,6.875
9,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,7.1875
10,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,7.34375
11,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,7,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,7.5
12,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,7,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,7.65625
13,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,7.8125
14,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,7,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,7.96875
15,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,7,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,8.125
16,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,7,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,8.4375
17,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,8,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,8.75
18,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,8,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.1875,9.375
19,..\data\scores\Quilter_Roger\Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz.mxl,Quilter_Roger,Hey_ho_the_Wind_and_the_Rain._5__Roger_Quilter.mscz,8,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,9.84375
