,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,1,-3,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,2,,,,rest,,,,,,,,1.0,1.5
2,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,3.0
3,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,3.75
4,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,4.0
5,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,4,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,4.5
6,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,4,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,5.0
7,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,4,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,5.5
8,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,5,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.5,6.0
9,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,5,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,7.0
10,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,6,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.375,7.5
11,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,6,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,8.25
12,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,6,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,8.5
13,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,7,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,9.0
14,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,7,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,10.0
15,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,8,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,10.5
16,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,8,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,11.25
17,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,8,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,11.5
18,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,9,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,12.0
19,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,9,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,12.5
20,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,9,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,13.0
21,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,10,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,13.5
22,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,10,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,14.25
23,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,10,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,14.5
24,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,11,,,,rest,,,,,,,,0.25,15.0
25,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,11,,,,rest,,,,,,,,0.25,15.5
26,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,11,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,16.0
27,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,12,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,16.5
28,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,12,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,17.25
29,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,12,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,17.5
30,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,13,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,18.0
31,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,13,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,18.5
32,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,13,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,19.0
33,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,14,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,19.5
34,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,14,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,20.0
35,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,14,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,20.5
36,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,15,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,21.0
37,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,15,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,22.0
38,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,16,,,,rest,,,,,,,,0.25,22.5
39,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,16,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,23.0
40,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,16,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,23.5
41,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,17,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.375,24.0
42,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,17,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,24.75
43,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,17,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,25.0
44,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,17,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,25.25
45,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,18,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.375,25.5
46,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,18,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,26.25
47,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,18,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,26.5
48,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,19,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.5,27.0
49,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,19,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,28.0
50,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,20,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,28.5
51,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,20,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,29.0
52,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,20,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,29.75
53,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,21,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,30.0
54,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,21,,,,rest,,,,,,,,0.25,30.5
55,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,21,,,,rest,,,,,,,,0.25,31.0
56,..\data\scores\Mozart_WolfgangAmadeus\Hostias.xml,Mozart_WolfgangAmadeus,Hostias,22,,,,rest,,,,,,,,1.0,31.5
