,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,1,-3,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,2,,,,rest,,,,,,,,0.25,2.2857142857142856
2,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,3,,,,rest,,,,,,,,0.25,4.571428571428571
3,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,4,,,,rest,,,,,,,,0.25,6.857142857142857
4,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,5,,,,rest,,,,,,,,0.25,9.142857142857142
5,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,6,,,,rest,,,,,,,,0.25,11.428571428571427
6,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,7,,,,note,C4,C,C,0.0,4,60.0,0.0,0.16666666666666666,13.714285714285712
7,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,7,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.08333333333333333,14.095238095238093
8,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.16666666666666666,14.285714285714283
9,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.08333333333333333,14.666666666666664
10,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,14.857142857142854
11,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,7,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,15.428571428571425
12,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,8,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,15.999999999999996
13,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,8,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,17.14285714285714
14,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,8,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,17.428571428571423
15,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,8,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,17.714285714285708
16,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,8,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,17.999999999999993
17,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,9,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,18.285714285714278
18,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,9,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,19.42857142857142
19,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,9,,,,rest,,,,,,,,0.25,19.999999999999993
20,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,10,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.16666666666666666,20.571428571428566
21,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,10,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.08333333333333333,20.952380952380945
22,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,10,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.16666666666666666,21.142857142857135
23,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,10,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.08333333333333333,21.523809523809515
24,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,10,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,21.714285714285705
25,..\data\scores\VaughanWilliams_Ralph\I._The_Vagabond_R._Vaughan_Williams.musicxml,VaughanWilliams_Ralph,I._The_Vagabond_R._Vaughan_Williams,10,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.25,22.285714285714278
