,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,1,-3,major,0,note,Bb5,Bb,B,-1,5,82,10,0.75,0
1,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,1,-3,major,0,note,C5,C,C,0,5,72,0,0.0,0
2,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,1,-3,major,0,note,D5,D,D,0,5,74,2,0.0,0
3,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,1,-3,major,0,note,D5,D,D,0,5,74,2,0.75,1.5
4,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,1,-3,major,0,note,C5,C,C,0,5,72,0,0.0,0
5,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,1,-3,major,0,note,D5,D,D,0,5,74,2,0.0,0
6,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,G4,G,G,0,4,67,7,0.125,3.0
7,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,Eb5,Eb,E,-1,5,75,3,0.375,3.0
8,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,3.25
9,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,G5,G,G,0,5,79,7,0.125,3.5
10,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,Ab5,Ab,A,-1,5,80,8,0.375,3.75
11,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,G5,G,G,0,5,79,7,0.375,4.5
12,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,2,,,,note,B4,B,B,0,4,71,11,0.375,5.25
13,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,3,,,,note,C5,C,C,0,5,72,0,0.375,6.0
14,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,3,,,,note,C5,C,C,0,5,72,0,0.25,6.75
15,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,3,,,,note,D5,D,D,0,5,74,2,0.125,7.25
16,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,3,,,,note,D5,D,D,0,5,74,2,0.25,7.5
17,data\scores\Chopin\IMSLP50493-PMLP02309-.xml,Chopin,IMSLP50493-PMLP02309-,3,,,,note,Eb5,Eb,E,-1,5,75,3,0.125,8.0
