,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,1,-1,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,2,,,,rest,,,,,,,,1.0,2.857142857142857
2,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,3,,,,rest,,,,,,,,1.0,5.714285714285714
3,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,4,,,,rest,,,,,,,,0.5,8.571428571428571
4,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,10.0
5,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,5,,,,note,C5,C,C,0.0,5,72.0,0.0,0.75,11.428571428571429
6,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,5,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,13.571428571428571
7,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,14.285714285714285
8,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,6,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,14.999999999999998
9,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,16.07142857142857
10,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,16.428571428571427
11,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,7,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,17.142857142857142
12,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,18.57142857142857
13,..\data\scores\Gesualdo_Carlo\Illumina_faciem_tuam_Gesualdo.mxl,Gesualdo_Carlo,Illumina_faciem_tuam_Gesualdo,8,,,,rest,,,,,,,,0.25,19.999999999999996
