,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,1,-2,major,0,note,D4,D,D,0,4,62,2,0.1875,0
1,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,1,-2,major,0,note,Eb4,Eb,E,-1,4,63,3,0.0625,0.46875
2,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,1,-2,major,0,note,D2,D,D,0,2,38,2,0.1875,0.0
3,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,1,-2,major,0,note,D3,D,D,0,3,50,2,0.1875,0.0
4,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,1,-2,major,0,note,Eb2,Eb,E,-1,2,39,3,0.0625,0.46875
5,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,1,-2,major,0,note,Eb3,Eb,E,-1,3,51,3,0.0625,0.46875
6,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,2,,,,note,F4,F,F,0,4,65,5,0.25,0.625
7,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,1.25
8,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,2,,,,note,D5,D,D,0,5,74,2,0.125,1.5625
9,data\scores\Alkan\Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl,Alkan,Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi,2,,,,note,F5,F,F,0,5,77,5,0.125,1.875
