,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,rest,,,,,,,,0.25,0
1,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.0
2,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.11194029850746269
3,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.22388059701492538
4,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.3358208955223881
5,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.0625,0.44776119402985076
6,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.5597014925373135
7,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.0625,0.6716417910447762
8,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.0625,0.7835820895522388
9,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.0625,0.8955223880597015
10,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.0074626865671643
11,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Db4,Db,D,-1.0,4,61.0,1.0,0.0625,1.119402985074627
12,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,1,-5,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.2313432835820897
13,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,rest,,,,,,,,0.25,1.3432835820895523
14,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,1.3432835820895523
15,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,1.455223880597015
16,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,1.5671641791044777
17,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,1.6791044776119404
18,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,F3,F,F,0.0,3,53.0,5.0,0.0625,1.791044776119403
19,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.0625,1.9029850746268657
20,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,2.0149253731343286
21,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,2.1268656716417915
22,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,2.2388059701492544
23,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,2,,,,note,F3,F,F,0.0,3,53.0,5.0,0.1875,2.3507462686567173
24,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,rest,,,,,,,,0.25,2.6865671641791056
25,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,2.686567164179106
26,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,2.798507462686569
27,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,2.910447761194032
28,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,3.0223880597014947
29,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.0625,3.1343283582089576
30,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,3.2462686567164205
31,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.0625,3.3582089552238834
32,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.0625,3.4701492537313463
33,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.0625,3.582089552238809
34,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,3.694029850746272
35,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.0625,3.805970149253735
36,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,3.917910447761198
37,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,rest,,,,,,,,0.25,4.029850746268661
38,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.029850746268661
39,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.141791044776124
40,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.253731343283587
41,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.3656716417910495
42,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,F3,F,F,0.0,3,53.0,5.0,0.0625,4.477611940298512
43,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Gb3,Gb,G,-1.0,3,54.0,6.0,0.0625,4.589552238805975
44,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.701492537313438
45,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,4.813432835820901
46,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.925373134328364
47,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,4,,,,note,F3,F,F,0.0,3,53.0,5.0,0.1875,5.037313432835827
48,data\scores\Balakirev\Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo.mxl,Balakirev,Islamey_An_Oriental_Fantasy_by_Mily_Balakirev_Piano_solo,5,,,,rest,,,,,,,,0.25,5.373134328358215
