,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,1,0,major,0,note,G4,G,G,0,4,67,7,0.25,0
1,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,1,0,major,0,note,B4,B,B,0,4,71,11,0.125,0.5
2,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,1,0,major,0,note,C5,C,C,0,5,72,0,0.25,0.75
3,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,1,0,major,0,note,B4,B,B,0,4,71,11,0.125,1.25
4,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,2,,,,note,C5,C,C,0,5,72,0,0.25,1.5
5,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,2,,,,note,D5,D,D,0,5,74,2,0.125,2.0
6,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,2,,,,note,D5,D,D,0,5,74,2,0.25,2.25
7,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,2,,,,note,C5,C,C,0,5,72,0,0.125,2.75
8,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,3,,,,note,B4,B,B,0,4,71,11,0.125,3.0
9,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,3,,,,note,A4,A,A,0,4,69,9,0.25,3.25
10,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,3,,,,note,G4,G,G,0,4,67,7,0.25,3.75
11,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,3,,,,note,F#4,F#,F,1,4,66,6,0.125,4.25
12,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,4,,,,note,G4,G,G,0,4,67,7,0.125,4.5
13,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,4,,,,rest,,,,,,,,0.125,4.75
14,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,4,,,,note,G4,G,G,0,4,67,7,0.125,5.0
15,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,4,,,,note,B4,B,B,0,4,71,11,0.125,5.25
16,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,4,,,,note,D5,D,D,0,5,74,2,0.25,5.5
17,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,5,,,,note,E5,E,E,0,5,76,4,0.25,6.0
18,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,5,,,,note,D5,D,D,0,5,74,2,0.125,6.5
19,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,5,,,,note,C5,C,C,0,5,72,0,0.25,6.75
20,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,5,,,,note,B4,B,B,0,4,71,11,0.125,7.25
21,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,6,,,,note,E5,E,E,0,5,76,4,0.125,7.5
22,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,6,,,,note,D5,D,D,0,5,74,2,0.25,7.75
23,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,6,,,,note,C5,C,C,0,5,72,0,0.25,8.25
24,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,6,,,,note,B4,B,B,0,4,71,11,0.125,8.75
25,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,7,,,,note,C5,C,C,0,5,72,0,0.125,9.0
26,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,7,,,,rest,,,,,,,,0.125,9.25
27,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,7,,,,note,C5,C,C,0,5,72,0,0.125,9.5
28,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,7,,,,note,B4,B,B,0,4,71,11,0.125,9.75
29,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,7,,,,note,D5,D,D,0,5,74,2,0.25,10.0
30,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,8,,,,note,B4,B,B,0,4,71,11,0.125,10.5
31,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,8,,,,note,A4,A,A,0,4,69,9,0.25,10.75
32,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,8,,,,note,G4,G,G,0,4,67,7,0.125,11.25
33,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,8,,,,note,A4,A,A,0,4,69,9,0.125,11.5
34,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,8,,,,note,F4,F,F,0,4,65,5,0.125,11.75
35,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,9,,,,note,E4,E,E,0,4,64,4,0.125,12.0
36,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,9,,,,note,D4,D,D,0,4,62,2,0.125,12.25
37,..\data\scores\Binchois_Gilles\Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1.xml,Binchois_Gilles,Jamais-tant-2_Binchois-Gilles-de-Bins-dit_file1,9,,,,note,F4,F,F,0,4,65,5,0.0625,12.5
