,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,1,0,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,2,,,,rest,,,,,,,,0.25,4.0
2,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,3,,,,rest,,,,,,,,0.25,8.0
3,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,4,,,,note,A4,A,A,0.0,4,69.0,9.0,2.0,12.0
4,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,5,,,,note,C5,C,C,0.0,5,72.0,0.0,2.0,16.0
5,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,6,,,,note,D5,D,D,0.0,5,74.0,2.0,2.0,20.0
6,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,7,,,,note,E5,E,E,0.0,5,76.0,4.0,2.0,24.0
7,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,8,,,,note,E5,E,E,0.0,5,76.0,4.0,1.0,28.0
8,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,8,,,,note,E5,E,E,0.0,5,76.0,4.0,1.0,30.0
9,..\data\scores\Ockeghem_JeanDe\Je-n-ay-deuil_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Je-n-ay-deuil_Ockeghem-Jean-de_file3,9,,,,note,E5,E,E,0.0,5,76.0,4.0,0.5,32.0
