,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,0
1,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,0.5
2,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,1.0
3,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,1,0,major,0,note,A4,A,A,0,4,69,9,0.5,1.5
4,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,2.5
5,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,2,,,,note,B4,B,B,0,4,71,11,0.25,3.0
6,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,2,,,,note,C5,C,C,0,5,72,0,0.5,3.5
7,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,2,,,,note,D5,D,D,0,5,74,2,0.5,4.5
8,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,2,,,,note,B4,B,B,0,4,71,11,0.25,5.5
9,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,3,,,,note,G4,G,G,0,4,67,7,0.25,6.0
10,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,3,,,,note,A4,A,A,0,4,69,9,0.5,6.5
11,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,3,,,,note,G4,G,G,0,4,67,7,0.5,7.5
12,..\data\scores\Dufay_Guillaume\Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Je-ne-suy-plus-tel-que-soloye_Du-Fay-Guillaume_file2,3,,,,note,F4,F,F,0,4,65,5,0.25,8.5
