,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,1,-1,major,0,note,D4,D,D,0,4,62,2,2.0,0
1,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,2,,,,note,D4,D,D,0,4,62,2,2.0,4.0
2,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,3,,,,note,D4,D,D,0,4,62,2,1.0,8.0
3,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,3,,,,note,C4,C,C,0,4,60,0,0.5,10.0
4,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,3,,,,note,D4,D,D,0,4,62,2,0.5,11.0
5,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,4,,,,note,D4,D,D,0,4,62,2,0.25,12.0
6,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,4,,,,note,E4,E,E,0,4,64,4,0.25,12.5
7,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,4,,,,note,F4,F,F,0,4,65,5,0.5,13.0
8,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,4,,,,note,D4,D,D,0,4,62,2,0.5,14.0
9,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,4,,,,note,F4,F,F,0,4,65,5,0.5,15.0
10,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,5,,,,note,F4,F,F,0,4,65,5,0.5,16.0
11,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,5,,,,note,E4,E,E,0,4,64,4,0.25,17.0
12,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,5,,,,note,D4,D,D,0,4,62,2,0.25,17.5
13,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,5,,,,note,E4,E,E,0,4,64,4,0.5,18.0
14,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,5,,,,note,A3,A,A,0,3,57,9,0.5,19.0
15,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,6,,,,note,A3,A,A,0,3,57,9,1.0,20.0
16,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,6,,,,rest,,,,,,,,1.0,22.0
17,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,7,,,,note,A3,A,A,0,3,57,9,1.0,24.0
18,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,7,,,,note,G3,G,G,0,3,55,7,0.5,26.0
19,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,7,,,,note,A3,A,A,0,3,57,9,0.5,27.0
20,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,8,,,,note,A3,A,A,0,3,57,9,0.25,28.0
21,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,8,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,28.5
22,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,8,,,,note,C4,C,C,0,4,60,0,0.5,29.0
23,..\data\scores\Desprez_Josquin\Josquin Missa Ave maris stella - Qui venit.xml,Desprez_Josquin,Josquin Missa Ave maris stella - Qui venit,8,,,,note,A3,A,A,0,3,57,9,0.5,30.0
