,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,1,0,major,0,note,E4,E,E,0,4,64,4,2.0,0
1,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,2,,,,note,D4,D,D,0,4,62,2,1.5,4.0
2,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,2,,,,note,C4,C,C,0,4,60,0,0.25,7.0
3,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,2,,,,note,B3,B,B,0,3,59,11,0.25,7.5
4,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,3,,,,note,A3,A,A,0,3,57,9,1.0,8.0
5,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,3,,,,note,A3,A,A,0,3,57,9,1.0,10.0
6,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,4,,,,note,G3,G,G,0,3,55,7,0.5,12.0
7,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,4,,,,note,D4,D,D,0,4,62,2,0.75,13.0
8,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,4,,,,note,B3,B,B,0,3,59,11,0.25,14.5
9,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,4,,,,note,E4,E,E,0,4,64,4,0.5,15.0
10,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,5,,,,note,E4,E,E,0,4,64,4,0.25,16.0
11,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,5,,,,note,D4,D,D,0,4,62,2,0.25,16.5
12,..\data\scores\Desprez_Josquin\Josquin Missa Malheur me bat - Benedictus.xml,Desprez_Josquin,Josquin Missa Malheur me bat - Benedictus,5,,,,note,C4,C,C,0,4,60,0,0.25,17.0
