,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,1,0,major,0,note,E4,E,E,0,4,64,4,1.5,0
1,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,3.0
2,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,1,0,major,0,note,C4,C,C,0,4,60,0,0.25,3.5
3,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,2,,,,note,B3,B,B,0,3,59,11,1.0,4.0
4,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,2,,,,note,D4,D,D,0,4,62,2,1.0,6.0
5,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,3,,,,note,C4,C,C,0,4,60,0,1.0,8.0
6,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,3,,,,note,A3,A,A,0,3,57,9,1.0,10.0
7,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,4,,,,rest,,,,,,,,0.5,12.0
8,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,4,,,,note,D4,D,D,0,4,62,2,0.5,13.0
9,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,4,,,,note,E4,E,E,0,4,64,4,0.5,14.0
10,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,4,,,,note,D4,D,D,0,4,62,2,0.5,15.0
11,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Agnus II.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Agnus II,5,,,,note,C4,C,C,0,4,60,0,0.75,16.0
