,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,1,0,major,0,note,A4,A,A,0,4,69,9,1.5,0
1,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,1,0,major,0,note,G4,G,G,0,4,67,7,0.5,3.0
2,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,2,,,,note,F4,F,F,0,4,65,5,1.0,4.0
3,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,2,,,,note,E4,E,E,0,4,64,4,0.5,6.0
4,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,2,,,,note,A4,A,A,0,4,69,9,0.5,7.0
5,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,3,,,,note,A4,A,A,0,4,69,9,0.5,8.0
6,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,3,,,,note,G4,G,G,0,4,67,7,0.25,9.0
7,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,3,,,,note,F4,F,F,0,4,65,5,0.25,9.5
8,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,3,,,,note,G4,G,G,0,4,67,7,1.0,10.0
9,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,4,,,,note,A4,A,A,0,4,69,9,0.5,12.0
10,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,4,,,,note,C5,C,C,0,5,72,0,0.5,13.0
11,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,4,,,,note,B4,B,B,0,4,71,11,0.5,14.0
12,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,4,,,,note,A4,A,A,0,4,69,9,0.5,15.0
13,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,5,,,,note,A4,A,A,0,4,69,9,0.25,16.0
14,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,5,,,,note,G4,G,G,0,4,67,7,0.25,16.5
15,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,5,,,,note,F4,F,F,0,4,65,5,0.5,17.0
16,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,5,,,,note,E4,E,E,0,4,64,4,0.5,18.0
17,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,5,,,,note,G4,G,G,0,4,67,7,0.5,19.0
18,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,6,,,,note,G4,G,G,0,4,67,7,0.25,20.0
19,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,6,,,,note,F4,F,F,0,4,65,5,0.25,20.5
20,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,6,,,,note,E4,E,E,0,4,64,4,0.25,21.0
21,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,6,,,,note,D4,D,D,0,4,62,2,0.25,21.5
22,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,6,,,,note,E4,E,E,0,4,64,4,1.0,22.0
23,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Benedictus.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Benedictus,7,,,,note,D4,D,D,0,4,62,2,0.5,24.0
