,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,1,0,major,0,note,A3,A,A,0,3,57,9,2.0,0
1,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,2,,,,note,C4,C,C,0,4,60,0,1.0,4.0
2,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,2,,,,note,B3,B,B,0,3,59,11,1.0,6.0
3,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,3,,,,note,A3,A,A,0,3,57,9,0.5,8.0
4,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,3,,,,note,C4,C,C,0,4,60,0,1.0,9.0
5,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,3,,,,note,B3,B,B,0,3,59,11,0.25,11.0
6,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,3,,,,note,A3,A,A,0,3,57,9,0.25,11.5
7,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,4,,,,note,G3,G,G,0,3,55,7,0.5,12.0
8,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,4,,,,note,C4,C,C,0,4,60,0,0.75,13.0
9,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,4,,,,note,D4,D,D,0,4,62,2,0.25,14.5
10,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,4,,,,note,E4,E,E,0,4,64,4,0.5,15.0
11,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,5,,,,note,E4,E,E,0,4,64,4,0.5,16.0
12,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,5,,,,note,D4,D,D,0,4,62,2,0.25,17.0
13,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,5,,,,note,C4,C,C,0,4,60,0,0.25,17.5
14,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,5,,,,note,B3,B,B,0,3,59,11,0.5,18.0
15,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,5,,,,note,D4,D,D,0,4,62,2,0.5,19.0
16,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,6,,,,note,D4,D,D,0,4,62,2,0.25,20.0
17,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,6,,,,note,C4,C,C,0,4,60,0,0.25,20.5
18,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,6,,,,note,B3,B,B,0,3,59,11,0.25,21.0
19,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,6,,,,note,A3,A,A,0,3,57,9,0.25,21.5
20,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,6,,,,note,B3,B,B,0,3,59,11,1.0,22.0
21,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,7,,,,note,A3,A,A,0,3,57,9,0.5,24.0
22,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,7,,,,note,D3,D,D,0,3,50,2,0.5,25.0
23,..\data\scores\Desprez_Josquin\Josquin Missa Sine Nomine - Qui venit.xml,Desprez_Josquin,Josquin Missa Sine Nomine - Qui venit,7,,,,note,E3,E,E,0,3,52,4,0.5,26.0
