,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,1,0,major,0,note,G3,G,G,0,3,55,7,1.0,0
1,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,1,0,major,0,note,B3,B,B,0,3,59,11,1.0,2.0
2,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,2,,,,note,C4,C,C,0,4,60,0,2.0,4.0
3,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,3,,,,rest,,,,,,,,0.5,8.0
4,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,3,,,,note,C4,C,C,0,4,60,0,1.0,9.0
5,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,3,,,,note,C4,C,C,0,4,60,0,0.5,11.0
6,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,4,,,,note,C4,C,C,0,4,60,0,0.5,12.0
7,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,4,,,,note,D4,D,D,0,4,62,2,1.0,13.0
8,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,4,,,,note,C4,C,C,0,4,60,0,0.5,15.0
9,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,5,,,,note,C4,C,C,0,4,60,0,0.5,16.0
10,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,5,,,,note,B3,B,B,0,3,59,11,0.5,17.0
11,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,5,,,,note,G3,G,G,0,3,55,7,0.5,18.0
12,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,5,,,,note,A3,A,A,0,3,57,9,0.5,19.0
13,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,6,,,,note,A3,A,A,0,3,57,9,0.5,20.0
14,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,6,,,,note,G3,G,G,0,3,55,7,0.5,21.0
15,..\data\scores\delaRue_Pierre\La Rue Missa Pro fidelibus defunctis - Sitivit anima mea.xml,Rue_Pierre,La Rue Missa Pro fidelibus defunctis - Sitivit anima mea,6,,,,rest,,,,,,,,0.5,22.0
