,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,1,-1,major,0,note,A3,A,A,0,3,57,9,1.0,0
1,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,1,-1,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,2.0
2,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,2.5
3,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,1,-1,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,3.0
4,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,1,-1,major,0,note,C4,C,C,0,4,60,0,0.25,3.5
5,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,2,,,,note,D4,D,D,0,4,62,2,1.0,4.0
6,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,2,,,,note,C4,C,C,0,4,60,0,1.0,6.0
7,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,3,,,,note,Bb3,Bb,B,-1,3,58,10,1.0,8.0
8,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,3,,,,rest,,,,,,,,0.5,10.0
9,..\data\scores\delaRue_Pierre\La Rue Missa Sine nomine I - Benedictus.xml,Rue_Pierre,La Rue Missa Sine nomine I - Benedictus,3,,,,note,A3,A,A,0,3,57,9,0.5,11.0
