,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,1,0,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,2,,,,note,A3,A,A,0.0,3,57.0,9.0,1.5,4.0
2,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,2,,,,note,B3,B,B,0.0,3,59.0,11.0,0.5,7.0
3,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.5,8.0
4,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.5,9.0
5,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,3,,,,note,E4,E,E,0.0,4,64.0,4.0,1.0,10.0
6,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,4,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,12.0
7,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,4,,,,note,E4,E,E,0.0,4,64.0,4.0,1.0,13.0
8,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,15.0
9,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,4,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,15.5
10,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,5,,,,note,B3,B,B,0.0,3,59.0,11.0,1.0,16.0
11,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,5,,,,rest,,,,,,,,0.5,18.0
12,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,5,,,,note,A3,A,A,0.0,3,57.0,9.0,0.5,19.0
13,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,6,,,,note,A3,A,A,0.0,3,57.0,9.0,0.25,20.0
14,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,6,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,20.5
15,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,6,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,21.0
16,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,6,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,21.5
17,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,6,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,22.0
18,..\data\scores\delaRue_Pierre\La Rue Missa Tandernaken - Benedictus.xml,Rue_Pierre,La Rue Missa Tandernaken - Benedictus,6,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,22.5
