,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,1,-1,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,1,-1,major,0,note,F4,F,F,0.0,4,65.0,5.0,1.0,2.0
2,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,4.0
3,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.75,5.0
4,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,2,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,6.5
5,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,7.0
6,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,7.5
7,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,3,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,8.0
8,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,3,,,,note,C5,C,C,0.0,5,72.0,0.0,1.0,9.0
9,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,11.0
10,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,3,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,11.5
11,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,12.0
12,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,4,,,,note,C5,C,C,0.0,5,72.0,0.0,1.0,13.0
13,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,15.0
14,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,16.0
15,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,5,,,,note,D5,D,D,0.0,5,74.0,2.0,1.0,17.0
16,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,5,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,19.0
17,..\data\scores\delaRue_Pierre\La Rue Missa de Sancta Anna - In nomine.xml,Rue_Pierre,La Rue Missa de Sancta Anna - In nomine,6,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,20.0
