,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,1,-1,major,0,note,D4,D,D,0,4,62,2,1.0,0
1,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,1,-1,major,0,note,E4,E,E,0,4,64,4,0.5,2.0
2,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,1,-1,major,0,note,D4,D,D,0,4,62,2,1.0,3.0
3,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,1,-1,major,0,note,C4,C,C,0,4,60,0,0.25,5.0
4,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,1,-1,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,5.5
5,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,2,,,,note,A3,A,A,0,3,57,9,0.5,6.0
6,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.75,7.0
7,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,2,,,,note,A3,A,A,0,3,57,9,0.25,8.5
8,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,2,,,,note,G3,G,G,0,3,55,7,0.5,9.0
9,..\data\scores\delaRue_Pierre\La Rue Missa de Sancto Job - Pleni.xml,Rue_Pierre,La Rue Missa de Sancto Job - Pleni,2,,,,note,F3,F,F,0,3,53,5,0.5,10.0
