,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,1,3,major,0,rest,,,,,,,,0.25,0
1,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,2,,,,rest,,,,,,,,0.25,1.0714285714285714
2,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,3,,,,rest,,,,,,,,0.25,2.142857142857143
3,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,4,,,,rest,,,,,,,,0.25,3.2142857142857144
4,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,5,,,,rest,,,,,,,,0.25,4.285714285714286
5,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,6,,,,rest,,,,,,,,0.25,5.357142857142857
6,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,7,,,,rest,,,,,,,,0.25,6.428571428571428
7,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,8,,,,rest,,,,,,,,0.25,7.499999999999999
8,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,9,,,,rest,,,,,,,,0.25,8.571428571428571
9,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,10,,,,rest,,,,,,,,0.25,9.642857142857142
10,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,11,,,,rest,,,,,,,,0.25,10.714285714285714
11,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,12,,,,rest,,,,,,,,0.25,11.785714285714285
12,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,12,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,12.321428571428571
13,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,13,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,12.857142857142858
14,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,13,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,13.392857142857144
15,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,14,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,13.92857142857143
16,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,14,,,,rest,,,,,,,,0.125,14.464285714285717
17,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,14,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,14.73214285714286
18,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,15,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,15.000000000000002
19,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,15,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,15.535714285714288
20,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,16,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,16.071428571428573
21,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,16,,,,rest,,,,,,,,0.125,16.607142857142858
22,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,16,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,16.875
23,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,17,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,17.142857142857142
24,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,17,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,17.678571428571427
25,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,17,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,17.94642857142857
26,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,18,,,,note,B4,B,B,0.0,4,71.0,11.0,0.375,18.21428571428571
27,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,18,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,19.01785714285714
28,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,19,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,19.28571428571428
29,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,20,,,,rest,,,,,,,,0.25,20.357142857142854
30,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,20,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,20.89285714285714
31,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,21,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,21.428571428571423
32,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,21,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.1875,21.964285714285708
33,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.2_-_Winterseufzer,21,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,22.366071428571423
