,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.5,0
1,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.125,1.0909090909090908
2,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,1,4,major,0,note,A4,A,A,0,4,69,9,0.125,1.3636363636363635
3,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,1,4,major,0,note,A#4,A#,A,1,4,70,10,0.125,1.6363636363636362
4,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,1,4,major,0,note,B4,B,B,0,4,71,11,0.125,1.909090909090909
5,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,2,,,,note,C#5,C#,C,1,5,73,1,0.5,2.1818181818181817
6,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,2,,,,note,B4,B,B,0,4,71,11,0.25,3.2727272727272725
7,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,2,,,,rest,,,,,,,,0.25,3.818181818181818
8,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,3,,,,note,G#4,G#,G,1,4,68,8,0.5,4.363636363636363
9,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,3,,,,note,D#5,D#,D,1,5,75,3,0.375,5.454545454545454
10,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,3,,,,note,C#5,C#,C,1,5,73,1,0.125,6.2727272727272725
11,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,4,,,,note,F#4,F#,F,1,4,66,6,0.5,6.545454545454545
12,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,4,,,,rest,,,,,,,,0.5,7.636363636363636
13,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,5,,,,note,F#4,F#,F,1,4,66,6,0.5,8.727272727272727
14,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,5,,,,note,F#4,F#,F,1,4,66,6,0.25,9.818181818181817
15,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,5,,,,note,F#4,F#,F,1,4,66,6,0.25,10.363636363636362
16,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,6,,,,note,B4,B,B,0,4,71,11,0.25,10.909090909090907
17,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,6,,,,rest,,,,,,,,0.25,11.454545454545451
18,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,6,,,,note,E5,E,E,0,5,76,4,0.5,11.999999999999996
19,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,7,,,,note,E5,E,E,0,5,76,4,0.5,13.090909090909086
20,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,7,,,,note,D#5,D#,D,1,5,75,3,0.125,14.181818181818176
21,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,7,,,,note,B4,B,B,0,4,71,11,0.125,14.45454545454545
22,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,7,,,,note,A4,A,A,0,4,69,9,0.125,14.727272727272723
23,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,7,,,,note,F#4,F#,F,1,4,66,6,0.125,14.999999999999996
24,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,8,,,,note,E4,E,E,0,4,64,4,0.5,15.27272727272727
25,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,8,,,,rest,,,,,,,,0.5,16.36363636363636
26,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,9,,,,rest,,,,,,,,0.25,17.45454545454545
27,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,10,,,,rest,,,,,,,,0.25,19.636363636363633
28,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,11,,,,note,F#4,F#,F,1,4,66,6,0.5,21.818181818181813
29,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,11,,,,note,F#4,F#,F,1,4,66,6,0.25,22.909090909090903
30,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,11,,,,note,F#4,F#,F,1,4,66,6,0.25,23.45454545454545
31,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.4_-_Lied_Immer_sich_rein_kindlich_erfreun,12,,,,note,G#4,G#,G,1,4,68,8,0.5,23.999999999999996
