,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,2,,,,rest,,,,,,,,0.25,2.1818181818181817
2,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,3,,,,rest,,,,,,,,0.25,4.363636363636363
3,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,4,,,,rest,,,,,,,,0.25,6.545454545454545
4,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,5,,,,rest,,,,,,,,0.25,8.727272727272727
5,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,6,,,,rest,,,,,,,,0.25,10.909090909090908
6,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,7,,,,rest,,,,,,,,0.25,13.09090909090909
7,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,8,,,,rest,,,,,,,,0.25,15.272727272727272
8,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,8,,,,rest,,,,,,,,0.125,16.363636363636363
9,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,8,,,,note,B3,B,B,0.0,3,59.0,11.0,0.125,16.90909090909091
10,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,17.454545454545457
11,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,9,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,18.545454545454547
12,data\scores\Lang\Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies.mxl,Lang,Lang_Josephine_-_Sechs_Lieder_Op.25_No.6_-_Das_Paradies,10,,,,note,E4,E,E,0.0,4,64.0,4.0,0.375,19.636363636363637
