,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,1,1,major,0,note,E4,E,E,0,4,64,4,0.25,0
1,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,1,1,major,0,note,G4,G,G,0,4,67,7,0.125,0.7500018750046876
2,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,1,1,major,0,note,A4,A,A,0,4,69,9,0.125,1.1250028125070315
3,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,1,1,major,0,note,B4,B,B,0,4,71,11,0.5,1.5000037500093752
4,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,1,1,major,0,rest,,,,,,,,0.25,0.0
5,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,2,,,,note,A#4,A#,A,1,4,70,10,0.25,3.0000075000187505
6,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,2,,,,note,B4,B,B,0,4,71,11,0.125,3.750009375023438
7,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,2,,,,note,G4,G,G,0,4,67,7,0.125,4.125010312525782
8,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,2,,,,note,E4,E,E,0,4,64,4,0.5,4.500011250028126
9,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,2,,,,rest,,,,,,,,0.25,3.0000075000187505
10,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,3,,,,note,B3,B,B,0,3,59,11,0.5,6.000015000037501
11,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,3,,,,rest,,,,,,,,0.5,7.500018750046876
12,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,3,,,,rest,,,,,,,,0.5,6.000015000037502
13,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,3,,,,note,E3,E,E,0,3,52,4,0.25,7.500018750046877
14,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,3,,,,note,G3,G,G,0,3,55,7,0.125,8.250020625051565
15,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,3,,,,note,A3,A,A,0,3,57,9,0.125,8.62502156255391
16,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,4,,,,rest,,,,,,,,0.25,9.000022500056254
17,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,4,,,,note,B3,B,B,0,3,59,11,0.5,9.000022500056254
18,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,4,,,,note,A#3,A#,A,1,3,58,10,0.25,10.500026250065629
19,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,4,,,,note,B3,B,B,0,3,59,11,0.125,11.250028125070317
20,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,4,,,,note,G3,G,G,0,3,55,7,0.125,11.625029062572661
21,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,5,,,,rest,,,,,,,,0.25,12.000030000075006
22,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,5,,,,note,E3,E,E,0,3,52,4,0.5,12.000030000075006
23,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,5,,,,note,B2,B,B,0,2,47,11,0.375,13.50003375008438
24,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,5,,,,rest,,,,,,,,0.125,14.625036562591411
25,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,F#4,F#,F,1,4,66,6,0.0625,15.000037500093756
26,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,15.150037500093756
27,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,G4,G,G,0,4,67,7,0.125,15.300037500093756
28,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,F#4,F#,F,1,4,66,6,0.0625,15.600037500093757
29,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,15.750037500093757
30,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,G4,G,G,0,4,67,7,0.125,15.900037500093758
31,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,F#4,F#,F,1,4,66,6,0.0625,16.200037500093757
32,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,16.350037500093755
33,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,G4,G,G,0,4,67,7,0.125,16.500037500093754
34,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,F#4,F#,F,1,4,66,6,0.0625,16.800037500093755
35,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,16.950037500093753
36,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,G4,G,G,0,4,67,7,0.125,17.10003750009375
37,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,D#4,D#,D,1,4,63,3,0.125,15.000037500093752
38,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,E4,E,E,0,4,64,4,0.0625,15.300037500093753
39,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,15.450037500093753
40,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,D#4,D#,D,1,4,63,3,0.125,15.600037500093753
41,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,E4,E,E,0,4,64,4,0.0625,15.900037500093754
42,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,16.050037500093755
43,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,D#4,D#,D,1,4,63,3,0.125,16.200037500093753
44,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,E4,E,E,0,4,64,4,0.0625,16.500037500093754
45,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,16.650037500093752
46,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,D#4,D#,D,1,4,63,3,0.125,16.80003750009375
47,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,E4,E,E,0,4,64,4,0.0625,17.10003750009375
48,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,6,,,,note,B3,B,B,0,3,59,11,0.0625,17.25003750009375
49,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,F#4,F#,F,1,4,66,6,0.0625,17.40003750009375
50,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,B3,B,B,0,3,59,11,0.0625,17.550037500093747
51,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,G4,G,G,0,4,67,7,0.125,17.700037500093746
52,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,F#4,F#,F,1,4,66,6,0.0625,18.000037500093747
53,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,B3,B,B,0,3,59,11,0.0625,18.150037500093745
54,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,G4,G,G,0,4,67,7,0.125,18.300037500093744
55,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,F#4,F#,F,1,4,66,6,0.25,18.600037500093745
56,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,B4,B,B,0,4,71,11,0.125,19.200037500093746
57,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,rest,,,,,,,,0.125,19.500037500093747
58,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,D#4,D#,D,1,4,63,3,0.125,17.40003750009375
59,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,E4,E,E,0,4,64,4,0.0625,17.70003750009375
60,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,B3,B,B,0,3,59,11,0.0625,17.850037500093748
61,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,D#4,D#,D,1,4,63,3,0.125,18.000037500093747
62,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,E4,E,E,0,4,64,4,0.0625,18.300037500093747
63,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,B3,B,B,0,3,59,11,0.0625,18.450037500093746
64,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,note,D#4,D#,D,1,4,63,3,0.25,18.600037500093745
65,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,7,,,,rest,,,,,,,,0.25,19.200037500093746
66,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,8,,,,note,A#4,A#,A,1,4,70,10,0.08333333333333333,19.800037500093747
67,data\scores\Liszt\Le_Mal_du_Pays.xml,Liszt,Le_Mal_du_Pays,8,,,,note,F#4,F#,F,1,4,66,6,0.08333333333333333,20.000037500093747
