,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,1,5,major,0,note,G#5,G#,G,1,5,80,8,0.125,0
1,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,1,5,major,0,note,E5,E,E,0,5,76,4,0.125,0.3750009375023438
2,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,1,5,major,0,note,C#5,C#,C,1,5,73,1,0.125,0.7500018750046876
3,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,1,5,major,0,rest,,,,,,,,0.25,1.1250028125070315
4,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,1,5,major,0,rest,,,,,,,,0.125,1.8750046875117192
5,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,1,5,major,0,rest,,,,,,,,0.25,0.0
6,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,2,,,,note,F#5,F#,F,1,5,78,6,0.125,2.250005625014063
7,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,2,,,,note,D#5,D#,D,1,5,75,3,0.125,2.6250065625164067
8,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,2,,,,note,B4,B,B,0,4,71,11,0.125,3.0000075000187505
9,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,2,,,,rest,,,,,,,,0.25,3.3750084375210943
10,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,2,,,,rest,,,,,,,,0.125,4.125010312525782
11,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,2,,,,rest,,,,,,,,0.25,2.250005625014063
12,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,3,,,,note,G#5,G#,G,1,5,80,8,0.125,4.500011250028126
13,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,3,,,,note,E5,E,E,0,5,76,4,0.125,4.87501218753047
14,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,3,,,,note,C#5,C#,C,1,5,73,1,0.125,5.250013125032814
15,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,3,,,,rest,,,,,,,,0.25,5.625014062535159
16,data\scores\Liszt\Les_Cloches_de_Genève.xml,Liszt,Les_Cloches_de_Genève,3,,,,rest,,,,,,,,0.125,6.375015937539846
