,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,rest,,,,,,,,0.25,0.0
2,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,rest,,,,,,,,0.25,0.0
3,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,rest,,,,,,,,0.25,0.0
4,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,note,Db2,Db,D,-1.0,2,37.0,1.0,0.5,1.3333333333333333
5,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,note,Db2,Db,D,-1.0,2,37.0,1.0,0.25,4.0
6,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,rest,,,,,,,,0.25,0.0
7,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,rest,,,,,,,,0.25,1.3333333333333333
8,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,1,-4,major,0,note,C1,C,C,0.0,1,24.0,0.0,0.5,2.6666666666666665
9,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,rest,,,,,,,,0.25,5.333333333333333
10,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,rest,,,,,,,,0.25,5.333333333333333
11,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,rest,,,,,,,,0.25,5.333333333333333
12,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,rest,,,,,,,,0.125,6.666666666666666
13,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,7.333333333333333
14,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,7.333333333333333
15,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,F3,F,F,0.0,3,53.0,5.0,0.125,7.333333333333333
16,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,8.0
17,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,8.0
18,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,F3,F,F,0.0,3,53.0,5.0,0.125,8.0
19,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,G2,G,G,0.0,2,43.0,7.0,0.0625,8.666666666666666
20,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,8.666666666666666
21,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Db3,Db,D,-1.0,3,49.0,1.0,0.0625,8.666666666666666
22,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.0625,8.666666666666666
23,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,rest,,,,,,,,0.0625,9.0
24,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,rest,,,,,,,,0.125,9.333333333333334
25,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,10.0
26,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,10.0
27,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,F3,F,F,0.0,3,53.0,5.0,0.125,10.0
28,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Db2,Db,D,-1.0,2,37.0,1.0,0.25,5.333333333333333
29,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Db2,Db,D,-1.0,2,37.0,1.0,0.5,6.666666666666666
30,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,Db2,Db,D,-1.0,2,37.0,1.0,0.25,9.333333333333332
31,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,C1,C,C,0.0,1,24.0,0.0,0.5,5.333333333333333
32,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,2,,,,note,C1,C,C,0.0,1,24.0,0.0,0.5,8.0
33,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,3,,,,rest,,,,,,,,0.25,10.666666666666666
34,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,3,,,,rest,,,,,,,,0.25,10.666666666666668
35,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,3,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,10.666666666666668
36,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,3,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,10.666666666666668
37,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,3,,,,note,F3,F,F,0.0,3,53.0,5.0,0.125,10.666666666666668
38,..\data\scores\Liszt_Franz\Liszt_-_Funerailles.mxl,Liszt_Franz,Liszt_-_Funerailles,3,,,,note,G2,G,G,0.0,2,43.0,7.0,0.0625,11.333333333333334
