,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,rest,,,,,,,,0.25,0.0
2,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,rest,,,,,,,,0.25,0.0
3,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Db2,Db,D,-1.0,2,37.0,1.0,0.125,0.0
4,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,0.0
5,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Db3,Db,D,-1.0,3,49.0,1.0,0.125,0.0
6,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,0.5
7,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Db3,Db,D,-1.0,3,49.0,1.0,0.125,0.5
8,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Db2,Db,D,-1.0,2,37.0,1.0,0.125,1.0
9,..\data\scores\Liszt_Franz\Liszt_-_Hungarian_Rhapsody_No._6.mscz.mxl,Liszt_Franz,Liszt_-_Hungarian_Rhapsody_No._6.mscz,1,-5,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.125,1.5
