,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,1,,,,rest,,,,,,,,1.0,0
1,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,2,,,,rest,,,,,,,,1.0,2.0
2,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,3,,,,rest,,,,,,,,1.0,4.0
3,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,4,,,,rest,,,,,,,,1.0,6.0
4,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,5,,,,rest,,,,,,,,1.0,8.0
5,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,6,,,,rest,,,,,,,,1.0,10.0
6,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,7,,,,rest,,,,,,,,0.5,12.0
7,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,7,,,,note,D4,D,D,0.0,4,62.0,2.0,0.5,13.0
8,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,8,,,,note,D4,D,D,0.0,4,62.0,2.0,0.5,14.0
9,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,8,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.25,15.0
10,data\scores\Liszt\Liszt_S202_Am_Grabe_R.xml,Liszt,Liszt_S202_Am_Grabe_R,8,,,,rest,,,,,,,,0.25,15.5
