,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,1,-1,major,0,note,C5,C,C,0,5,72,0,2.0,0
1,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,1,-1,major,0,note,A4,A,A,0,4,69,9,1.0,4.0
2,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,2,,,,note,D5,D,D,0,5,74,2,1.5,6.0
3,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,9.0
4,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.75,10.0
5,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,2,,,,note,G4,G,G,0,4,67,7,0.25,11.5
6,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,3,,,,note,C5,C,C,0,5,72,0,1.0,12.0
7,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,3,,,,note,D5,D,D,0,5,74,2,0.5,14.0
8,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,3,,,,note,F5,F,F,0,5,77,5,1.0,15.0
9,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,3,,,,note,E5,E,E,0,5,76,4,0.5,17.0
10,..\data\scores\Ockeghem_JeanDe\Ma-maistresse_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Ma-maistresse_Ockeghem-Jean-de_file3,4,,,,note,D5,D,D,0,5,74,2,0.5,18.0
