,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,1,0,major,0,note,G4,G,G,0,4,67,7,1.5,0
1,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,2,,,,note,B4,B,B,0,4,71,11,0.5,3.0
2,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,2,,,,note,C5,C,C,0,5,72,0,0.25,4.0
3,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,2,,,,note,D5,D,D,0,5,74,2,0.5,4.5
4,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,2,,,,note,B4,B,B,0,4,71,11,0.25,5.5
5,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,3,,,,note,D5,D,D,0,5,74,2,0.25,6.0
6,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,3,,,,note,C5,C,C,0,5,72,0,0.25,6.5
7,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,3,,,,note,A4,A,A,0,4,69,9,0.75,7.0
8,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,3,,,,note,G4,G,G,0,4,67,7,0.25,8.5
9,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,4,,,,note,B4,B,B,0,4,71,11,0.5,9.0
10,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,4,,,,note,C5,C,C,0,5,72,0,0.375,10.0
11,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,4,,,,note,B4,B,B,0,4,71,11,0.125,10.75
12,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,4,,,,note,A4,A,A,0,4,69,9,0.375,11.0
13,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,4,,,,note,G4,G,G,0,4,67,7,0.125,11.75
14,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,5,,,,note,G4,G,G,0,4,67,7,1.0,12.0
15,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,5,,,,rest,,,,,,,,0.5,14.0
16,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,6,,,,note,A4,A,A,0,4,69,9,1.0,15.0
17,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,6,,,,note,F4,F,F,0,4,65,5,0.5,17.0
18,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,7,,,,note,F4,F,F,0,4,65,5,0.5,18.0
19,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,7,,,,note,Bb4,Bb,B,-1,4,70,10,0.75,19.0
20,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,7,,,,note,A4,A,A,0,4,69,9,0.25,20.5
21,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,8,,,,note,A4,A,A,0,4,69,9,0.5,21.0
22,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,8,,,,note,G4,G,G,0,4,67,7,0.75,22.0
23,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,8,,,,note,F4,F,F,0,4,65,5,0.25,23.5
24,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,9,,,,note,A4,A,A,0,4,69,9,0.5,24.0
25,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,9,,,,rest,,,,,,,,0.25,25.0
26,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,9,,,,note,F4,F,F,0,4,65,5,0.5,25.5
27,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,9,,,,note,D4,D,D,0,4,62,2,0.25,26.5
28,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,10,,,,note,F4,F,F,0,4,65,5,0.5,27.0
29,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,10,,,,note,E4,E,E,0,4,64,4,0.75,28.0
30,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,10,,,,note,D4,D,D,0,4,62,2,0.25,29.5
31,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,11,,,,note,D4,D,D,0,4,62,2,0.25,30.0
32,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,11,,,,note,F4,F,F,0,4,65,5,0.25,30.5
33,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,11,,,,note,G4,G,G,0,4,67,7,0.25,31.0
34,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,11,,,,note,A4,A,A,0,4,69,9,0.5,31.5
35,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,11,,,,note,G4,G,G,0,4,67,7,0.25,32.5
36,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,12,,,,note,F#4,F#,F,1,4,66,6,0.375,33.0
37,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,12,,,,note,E4,E,E,0,4,64,4,0.125,33.75
38,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,12,,,,note,G4,G,G,0,4,67,7,0.5,34.0
39,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,12,,,,note,A4,A,A,0,4,69,9,0.25,35.0
40,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,12,,,,note,B4,B,B,0,4,71,11,0.25,35.5
41,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,13,,,,note,C5,C,C,0,5,72,0,0.25,36.0
42,..\data\scores\Dufay_Guillaume\Magnanimae-gentis_Du-Fay-Guillaume_file2.xml,Dufay_Guillaume,Magnanimae-gentis_Du-Fay-Guillaume_file2,13,,,,note,A4,A,A,0,4,69,9,0.5,36.5
