,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,1,-1,major,0,rest,,,,,,,,0.25,0
1,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,2,,,,rest,,,,,,,,0.25,1.4594594594594597
2,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,3,,,,rest,,,,,,,,0.25,2.9189189189189193
3,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,4,,,,rest,,,,,,,,0.25,4.378378378378379
4,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,5,,,,rest,,,,,,,,0.25,5.837837837837839
5,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,5,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,6.162162162162163
6,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,5,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,6.3243243243243255
7,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,5,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,6.64864864864865
8,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,6.810810810810812
9,data\scores\Mahler\Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer.mxl,Mahler,Mahler_Gustav_-_Lieder_eines_fahrenden_Gesellen_No.3_-_Ich_hab_ein_gluhend_Messer,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,7.135135135135137
