,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B5,B,B,0,5,83,11,0.25,0
1,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,D#6,D#,D,1,6,87,3,0.25,0
2,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#6,F#,F,1,6,90,6,0.25,0
3,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B6,B,B,0,6,95,11,0.25,0
4,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#5,F#,F,1,5,78,6,0.5,0.45454545454545453
5,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B5,B,B,0,5,83,11,0.5,0.45454545454545453
6,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,D#6,D#,D,1,6,87,3,0.5,0.45454545454545453
7,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#6,F#,F,1,6,90,6,0.5,0.45454545454545453
8,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,E#5,E#,E,1,5,77,5,0.08333333333333333,1.3636363636363635
9,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,E#6,E#,E,1,6,89,5,0.08333333333333333,1.3636363636363635
10,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#5,F#,F,1,5,78,6,0.08333333333333333,1.5151515151515151
11,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#6,F#,F,1,6,90,6,0.08333333333333333,1.5151515151515151
12,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,G#5,G#,G,1,5,80,8,0.08333333333333333,1.6666666666666665
13,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,G#6,G#,G,1,6,92,8,0.08333333333333333,1.6666666666666665
14,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B1,B,B,0,1,35,11,0.25,-2.220446049250313e-16
15,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,D#2,D#,D,1,2,39,3,0.25,-2.220446049250313e-16
16,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#2,F#,F,1,2,42,6,0.25,-2.220446049250313e-16
17,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B2,B,B,0,2,47,11,0.25,-2.220446049250313e-16
18,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B3,B,B,0,3,59,11,0.5,0.4545454545454543
19,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,D#4,D#,D,1,4,63,3,0.5,0.4545454545454543
20,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,F#4,F#,F,1,4,66,6,0.5,0.4545454545454543
21,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B4,B,B,0,4,71,11,0.5,0.4545454545454543
22,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B3,B,B,0,3,59,11,0.08333333333333333,1.3636363636363633
23,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,Cx4,Cx,C,2,4,62,2,0.08333333333333333,1.3636363636363633
24,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B4,B,B,0,4,71,11,0.08333333333333333,1.3636363636363633
25,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B3,B,B,0,3,59,11,0.08333333333333333,1.5151515151515147
26,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,D#4,D#,D,1,4,63,3,0.08333333333333333,1.5151515151515147
27,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B4,B,B,0,4,71,11,0.08333333333333333,1.5151515151515147
28,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B3,B,B,0,3,59,11,0.08333333333333333,1.666666666666666
29,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,E4,E,E,0,4,64,4,0.08333333333333333,1.666666666666666
30,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,1,5,major,0,note,B4,B,B,0,4,71,11,0.08333333333333333,1.666666666666666
31,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,F#5,F#,F,1,5,78,6,0.08333333333333333,1.8181818181818175
32,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,F#6,F#,F,1,6,90,6,0.08333333333333333,1.8181818181818175
33,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,Cx5,Cx,C,2,5,74,2,0.08333333333333333,1.9696969696969688
34,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,Cx6,Cx,C,2,6,86,2,0.08333333333333333,1.9696969696969688
35,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,D#5,D#,D,1,5,75,3,0.08333333333333333,2.12121212121212
36,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,D#6,D#,D,1,6,87,3,0.08333333333333333,2.12121212121212
37,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,2.2727272727272716
38,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,E6,E,E,0,6,88,4,0.08333333333333333,2.2727272727272716
39,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,B4,B,B,0,4,71,11,0.08333333333333333,2.424242424242423
40,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,B5,B,B,0,5,83,11,0.08333333333333333,2.424242424242423
41,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,C#5,C#,C,1,5,73,1,0.08333333333333333,2.5757575757575744
42,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,C#6,C#,C,1,6,85,1,0.08333333333333333,2.5757575757575744
43,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,D#5,D#,D,1,5,75,3,0.08333333333333333,2.7272727272727257
44,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,D#6,D#,D,1,6,87,3,0.08333333333333333,2.7272727272727257
45,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,A#4,A#,A,1,4,70,10,0.08333333333333333,2.878787878787877
46,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,A#5,A#,A,1,5,82,10,0.08333333333333333,2.878787878787877
47,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,B4,B,B,0,4,71,11,0.08333333333333333,3.0303030303030285
48,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,B5,B,B,0,5,83,11,0.08333333333333333,3.0303030303030285
49,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,C#5,C#,C,1,5,73,1,0.08333333333333333,3.18181818181818
50,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,C#6,C#,C,1,6,85,1,0.08333333333333333,3.18181818181818
51,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,G#4,G#,G,1,4,68,8,0.08333333333333333,3.3333333333333313
52,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,G#5,G#,G,1,5,80,8,0.08333333333333333,3.3333333333333313
53,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,A#4,A#,A,1,4,70,10,0.08333333333333333,3.4848484848484826
54,data\scores\Alkan\Marche_Triomphale_Opus_27_in_B_Major.mxl,Alkan,Marche_Triomphale_Opus_27_in_B_Major,2,,,,note,A#5,A#,A,1,5,82,10,0.08333333333333333,3.4848484848484826
