,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,1,-1,major,0,note,D4,D,D,0,4,62,2,1.0,0
1,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,1,-1,major,0,note,F4,F,F,0,4,65,5,0.5,2.0
2,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,1,-1,major,0,note,G4,G,G,0,4,67,7,0.5,3.0
3,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,1,-1,major,0,note,A4,A,A,0,4,69,9,1.0,4.0
4,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,2,,,,note,A4,A,A,0,4,69,9,0.5,6.0
5,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,2,,,,note,A4,A,A,0,4,69,9,1.0,7.0
6,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,9.0
7,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,2,,,,note,A4,A,A,0,4,69,9,0.5,10.0
8,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,11.0
9,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,12.0
10,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,3,,,,note,A4,A,A,0,4,69,9,0.25,12.5
11,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,3,,,,note,A4,A,A,0,4,69,9,1.0,13.0
12,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,3,,,,note,G4,G,G,0,4,67,7,0.5,15.0
13,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,3,,,,note,A4,A,A,0,4,69,9,0.5,16.0
14,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,3,,,,note,A4,A,A,0,4,69,9,0.5,17.0
15,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,4,,,,note,A4,A,A,0,4,69,9,0.5,18.0
16,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,4,,,,note,C5,C,C,0,5,72,0,0.75,19.0
17,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,20.5
18,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.75,21.0
19,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,4,,,,note,A4,A,A,0,4,69,9,0.25,22.5
20,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,4,,,,note,G4,G,G,0,4,67,7,0.5,23.0
21,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,5,,,,note,F4,F,F,0,4,65,5,0.5,24.0
22,..\data\scores\Ockeghem_JeanDe\Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3.xml,Ockeghem_JeanDe,Missa-Cuiusvis-toni_Gloria_Ockeghem-Jean-de_file3,5,,,,note,G4,G,G,0,4,67,7,1.0,25.0
