,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,1,-1,major,0,note,G4,G,G,0,4,67,7,0.75,0
1,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,1,-1,major,0,note,A4,A,A,0,4,69,9,0.25,1.5
2,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,1,-1,major,0,note,B4,B,B,0,4,71,11,0.5,2.0
3,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,2,,,,note,C5,C,C,0,5,72,0,0.5,3.0
4,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,2,,,,note,B4,B,B,0,4,71,11,0.25,4.0
5,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,2,,,,note,D5,D,D,0,5,74,2,0.5,4.5
6,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,2,,,,note,C5,C,C,0,5,72,0,0.25,5.5
7,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,3,,,,note,B4,B,B,0,4,71,11,0.25,6.0
8,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,3,,,,note,G4,G,G,0,4,67,7,0.25,6.5
9,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,3,,,,note,A4,A,A,0,4,69,9,0.5,7.0
10,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,3,,,,note,B4,B,B,0,4,71,11,0.375,8.0
11,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,3,,,,note,G4,G,G,0,4,67,7,0.125,8.75
12,..\data\scores\Dufay_Guillaume\Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3.xml,Dufay_Guillaume,Missa-L-homme-arme_Sanctus_Du-Fay-Guillaume_file3,4,,,,note,G4,G,G,0,4,67,7,0.75,9.0
