,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,1,-1,major,0,note,F4,F,F,0,4,65,5,0.75,0
1,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,1,-1,major,0,note,G4,G,G,0,4,67,7,0.25,1.5
2,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,1,-1,major,0,note,A4,A,A,0,4,69,9,0.5,2.0
3,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,3.0
4,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,2,,,,note,A4,A,A,0,4,69,9,0.25,4.0
5,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,2,,,,note,F4,F,F,0,4,65,5,0.5,4.5
6,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,2,,,,note,G4,G,G,0,4,67,7,0.25,5.5
7,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,3,,,,note,F4,F,F,0,4,65,5,0.25,6.0
8,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,3,,,,note,D4,D,D,0,4,62,2,0.25,6.5
9,..\data\scores\Ockeghem_JeanDe\Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4.xml,Ockeghem_JeanDe,Missa-prolationum_Agnus-dei_Ockeghem-Jean-de_file4,3,,,,note,F4,F,F,0,4,65,5,0.375,7.0
