,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,1,-1,major,0,note,A4,A,A,0,4,69,9,2.0,0
1,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,2,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,4.0
2,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,2,,,,note,A4,A,A,0,4,69,9,1.0,6.0
3,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,3,,,,note,G4,G,G,0,4,67,7,1.5,8.0
4,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,3,,,,note,F4,F,F,0,4,65,5,0.25,11.0
5,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,3,,,,note,E4,E,E,0,4,64,4,0.25,11.5
6,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,4,,,,note,F4,F,F,0,4,65,5,1.5,12.0
7,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,4,,,,note,F4,F,F,0,4,65,5,0.5,15.0
8,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,5,,,,note,F4,F,F,0,4,65,5,1.0,16.0
9,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,5,,,,note,G4,G,G,0,4,67,7,1.0,18.0
10,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,6,,,,note,G4,G,G,0,4,67,7,0.5,20.0
11,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,6,,,,note,F4,F,F,0,4,65,5,0.5,21.0
12,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,6,,,,note,E4,E,E,0,4,64,4,0.5,22.0
13,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,6,,,,note,D4,D,D,0,4,62,2,0.5,23.0
14,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,7,,,,note,D4,D,D,0,4,62,2,1.0,24.0
15,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,7,,,,note,E4,E,E,0,4,64,4,1.0,26.0
16,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,8,,,,note,D4,D,D,0,4,62,2,0.5,28.0
17,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,8,,,,note,G4,G,G,0,4,67,7,1.0,29.0
18,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,8,,,,note,F4,F,F,0,4,65,5,0.25,31.0
19,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,8,,,,note,E4,E,E,0,4,64,4,0.25,31.5
20,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,9,,,,note,F4,F,F,0,4,65,5,1.0,32.0
21,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,9,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,34.0
22,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,10,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,36.0
23,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,10,,,,note,A4,A,A,0,4,69,9,0.5,37.0
24,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,10,,,,note,A4,A,A,0,4,69,9,1.0,38.0
25,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,11,,,,note,A4,A,A,0,4,69,9,1.0,40.0
26,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,11,,,,note,G4,G,G,0,4,67,7,1.0,42.0
27,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,12,,,,note,A4,A,A,0,4,69,9,1.0,44.0
28,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,12,,,,note,F4,F,F,0,4,65,5,1.0,46.0
29,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,13,,,,note,F4,F,F,0,4,65,5,1.0,48.0
30,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,13,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,50.0
31,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,14,,,,note,A4,A,A,0,4,69,9,0.5,52.0
32,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,14,,,,note,G4,G,G,0,4,67,7,0.5,53.0
33,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,14,,,,note,G4,G,G,0,4,67,7,1.0,54.0
34,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,15,,,,note,G4,G,G,0,4,67,7,1.0,56.0
35,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,15,,,,note,F#4,F#,F,1,4,66,6,1.0,58.0
36,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,16,,,,note,G4,G,G,0,4,67,7,2.0,60.0
37,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,17,,,,rest,,,,,,,,1.0,64.0
38,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,17,,,,note,D4,D,D,0,4,62,2,1.0,66.0
39,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,18,,,,note,E4,E,E,0,4,64,4,1.0,68.0
40,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,18,,,,note,F4,F,F,0,4,65,5,1.0,70.0
41,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,19,,,,note,G4,G,G,0,4,67,7,0.75,72.0
42,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,19,,,,note,F4,F,F,0,4,65,5,0.25,73.5
43,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,19,,,,note,D4,D,D,0,4,62,2,1.0,74.0
44,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,20,,,,rest,,,,,,,,1.0,76.0
45,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,20,,,,note,A4,A,A,0,4,69,9,1.0,78.0
46,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,21,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,80.0
47,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,21,,,,note,C5,C,C,0,5,72,0,1.0,82.0
48,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,22,,,,note,D5,D,D,0,5,74,2,0.5,84.0
49,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,22,,,,note,C5,C,C,0,5,72,0,0.5,85.0
50,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,22,,,,note,A4,A,A,0,4,69,9,1.0,86.0
51,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,23,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,88.0
52,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,23,,,,note,G4,G,G,0,4,67,7,1.0,89.0
53,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,23,,,,note,A4,A,A,0,4,69,9,0.5,91.0
54,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,24,,,,note,A4,A,A,0,4,69,9,0.25,92.0
55,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,24,,,,note,G4,G,G,0,4,67,7,0.25,92.5
56,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,24,,,,note,F4,F,F,0,4,65,5,0.5,93.0
57,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,24,,,,note,E4,E,E,0,4,64,4,1.0,94.0
58,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,25,,,,note,F4,F,F,0,4,65,5,1.0,96.0
59,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,25,,,,note,D4,D,D,0,4,62,2,1.0,98.0
60,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,26,,,,rest,,,,,,,,1.0,100.0
61,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,26,,,,note,D5,D,D,0,5,74,2,1.0,102.0
62,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,27,,,,note,D5,D,D,0,5,74,2,1.0,104.0
63,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,27,,,,note,D5,D,D,0,5,74,2,1.0,106.0
64,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,28,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,108.0
65,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,28,,,,note,G4,G,G,0,4,67,7,1.0,110.0
66,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,29,,,,note,C5,C,C,0,5,72,0,1.0,112.0
67,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,29,,,,note,A4,A,A,0,4,69,9,1.0,114.0
68,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,30,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,116.0
69,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,30,,,,note,C5,C,C,0,5,72,0,1.0,118.0
70,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,31,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,120.0
71,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,31,,,,note,D5,D,D,0,5,74,2,1.0,121.0
72,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,31,,,,note,C5,C,C,0,5,72,0,0.25,123.0
73,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,31,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,123.5
74,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,32,,,,note,A4,A,A,0,4,69,9,1.0,124.0
75,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,32,,,,note,A4,A,A,0,4,69,9,1.0,126.0
76,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,33,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,128.0
77,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,33,,,,note,C5,C,C,0,5,72,0,0.5,129.0
78,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,33,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,130.0
79,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,33,,,,note,A4,A,A,0,4,69,9,0.25,131.0
80,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,33,,,,note,G4,G,G,0,4,67,7,0.25,131.5
81,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,34,,,,note,A4,A,A,0,4,69,9,2.0,132.0
82,..\data\scores\Busnoys_Antoine\O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1.xml,Busnoys_Antoine,O-Fortune-trop-tu-es-dure_Busnoys-Antoine_file1,35,,,,note,A4,A,A,0,4,69,9,2.0,136.0
