,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0
1,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0
2,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0
3,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.15
4,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.15
5,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.15
6,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.3
7,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.3
8,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.3
9,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.44999999999999996
10,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.44999999999999996
11,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.44999999999999996
12,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.6
13,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.6
14,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.6
15,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.75
16,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.75
17,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.75
18,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.9
19,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.9
20,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.9
21,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.05
22,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,1.05
23,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,1.05
24,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.2
25,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,1.2
26,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,1.2
27,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.3499999999999999
28,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,1.3499999999999999
29,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,1.3499999999999999
30,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.4999999999999998
31,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,1.4999999999999998
32,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,1.4999999999999998
33,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.6499999999999997
34,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,1.6499999999999997
35,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,1.6499999999999997
36,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.7999999999999996
37,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,1.7999999999999996
38,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,1.7999999999999996
39,data\scores\Alkan\Ouverture_Opus_39_No._11_in_B_Minor.mxl,Alkan,Ouverture_Opus_39_No._11_in_B_Minor,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,1.9499999999999995
