,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,1,-3,major,0,note,D5,D,D,0,5,74,2,1.0,0
1,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,2,,,,note,D5,D,D,0,5,74,2,0.5,2.5
2,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,2,,,,note,D5,D,D,0,5,74,2,0.5,3.75
3,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,3,,,,note,D5,D,D,0,5,74,2,0.25,5.0
4,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,3,,,,note,Eb5,Eb,E,-1,5,75,3,0.25,5.625
5,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,3,,,,note,F5,F,F,0,5,77,5,0.5,6.25
6,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,4,,,,note,F5,F,F,0,5,77,5,0.5,7.5
7,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,4,,,,note,Eb5,Eb,E,-1,5,75,3,0.5,8.75
8,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,5,,,,note,Eb5,Eb,E,-1,5,75,3,1.0,10.0
9,..\data\scores\Gesualdo_Carlo\Plange_quasi_virgo_Gesualdo_tr.mxl,Gesualdo_Carlo,Plange_quasi_virgo_Gesualdo_tr,6,,,,note,Eb5,Eb,E,-1,5,75,3,0.375,12.5
